Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
ships/jp_aircraftcarrier_shokaku_1;Shokaku;Carrier;翔​鹤;0;;;;;;;;;;;;;;;;;;;
ships/jp_aircraftcarrier_shokaku_2;Carrier;Carrier;翔​鹤;same;;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_0;Cargo truck;Cargo truck;货​车;same;n;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_1;╪⛟;Truck;货​车;-3;n;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_2;╪⛟;Truck;货​车;-3;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_0;Cargo ship;Cargo ship;货​船;same;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_1;Cargo ship;Cargo ship;货​船;same;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_2;Cargo⋒;Ship;货​船;2;n;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_0;Base building;Base building;基​地​建​筑;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_1;Base building;Base building;基​地​建​筑;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_arcade_2;Base building;Base building;基​地​建​筑;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_0;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_1;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_2;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/flag_victory_0;Flag;Flag;旗​帜;same;n;;;;;;;;;;;;;;;;;;
structures/flag_victory_1;Flag;Flag;旗​帜;same;n;;;;;;;;;;;;;;;;;;
structures/flag_victory_2;Flag;Flag;旗​帜;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_0;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_1;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_airfield_5k_2;Airfield;Airfield;机​场;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_0;Bombing point;Bombing point;轰​炸​点;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_1;Bombing point;Bombing point;轰​炸​点;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_2;Bombing point;Bombing point;轰​炸​点;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_0;Runway;Runway;跑​道;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_1;Runway;Runway;跑​道;same;n;;;;;;;;;;;;;;;;;;
structures/dummy_bombtarget_airfield_2;Runway;Runway;跑​道;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_0;Target №10a;Target №10a;目​标 10​а 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_1;┍ №10;Target №10a;目​标 10​а 号;-6;n;;;;;;;;;;;;;;;;;;
structures/tank_target_10a_char_2;┍ №10;Target №10a;目​标 10​а 号;-6;n;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_0;Target №12;Target №12;目​标 12 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_1;┍ №12;Target №12;目​标 12 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_12_char_2;┍ №12;Target №12;目​标 12 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_0;Target №17;Target №17;目​标 17 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_1;┍ №17;Target №17;目​标 17 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_17_char_2;┍ №17;Target №17;目​标 17 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_0;Target №25;Target №25;目​标 25 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_1;┍ №25;Target №25;目​标 25 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_25_char_2;┍ №25;Target №25;目​标 25 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_0;Target №8;Target №8;目​标 8 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_1;┍ №8;Target №8;目​标 8 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_8_char_2;┍ №8;Target №8;目​标 8 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_0;Target №9;Target №9;目​标 9 号;same;n;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_1;┍ №9;Target №9;目​标 9 号;-5;n;;;;;;;;;;;;;;;;;;
structures/tank_target_9_char_2;┍ №9;Target №9;目​标 9 号;-5;n;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_0;Coastal artillery (decoy);Coastal artillery;岸​防​炮;8;n;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_1;Coasty arty (decoy);Coastal artillery;岸​防​炮;2;n;;;;;;;;;;;;;;;;;;
structures/dummy_naval_base_2;Coasty arty decoy;Coastal artillery;岸​防​炮;0;n;;;;;;;;;;;;;;;;;;
unic_hornet;USS Hornet CV-8;USS Hornet CV-8;大​黄​蜂;same;n;;;;;;;;;;;;;;;;;;
unic_hornet_0;USS Hornet CV-8;USS Hornet CV-8;大​黄​蜂​号​航​空​母​舰 (CV-8);same;n;;;;;;;;;;;;;;;;;;
unic_hornet_1;Hornet;USS Hornet;“大​黄​蜂”​号​航​空​母​舰;-4;n;;;;;;;;;;;;;;;;;;
unic_hornet_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_enterprise;USS Enterprise CV-6;USS Enterprise CV-6;企​业;same;n;;;;;;;;;;;;;;;;;;
unic_enterprise_0;USS Enterprise CV-6;USS Enterprise CV-6;企​业​号​航​空​母​舰 (CV-6);same;n;;;;;;;;;;;;;;;;;;
unic_enterprise_1;Enterprise;USS Enterprise;企​业;-4;n;;;;;;;;;;;;;;;;;;
unic_enterprise_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_yorktown;USS Yorktown CV-5;USS Yorktown CV-5;约​克​城;same;n;;;;;;;;;;;;;;;;;;
unic_yorktown_0;USS Yorktown CV-5;USS Yorktown CV-5;约​克​城​号​航​空​母​舰 (CV-5);same;n;;;;;;;;;;;;;;;;;;
unic_yorktown_1;Yorktown;USS Yorktown;约​克​城;-4;n;;;;;;;;;;;;;;;;;;
unic_yorktown_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_soryu;IJN Sōryū;IJN Sōryū;苍​龙;same;n;;;;;;;;;;;;;;;;;;
unic_soryu_0;IJN Sōryū;IJN Sōryū;苍​龙​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_soryu_1;Sōryū;IJN Sōryū;苍​龙;-4;n;;;;;;;;;;;;;;;;;;
unic_soryu_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_hiryu;IJN Hiryū;IJN Hiryū;飞​龙;same;n;;;;;;;;;;;;;;;;;;
unic_hiryu_0;IJN Hiryū;IJN Hiryū;飞​龙​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_hiryu_1;Hiryū;IJN Hiryū;飞​龙;-4;n;;;;;;;;;;;;;;;;;;
unic_hiryu_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_kaga;IJN Kaga;IJN Kaga;加​贺;same;n;;;;;;;;;;;;;;;;;;
unic_kaga_0;IJN Kaga;IJN Kaga;加​贺​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_kaga_1;Kaga;IJN Kaga;加​贺;-4;n;;;;;;;;;;;;;;;;;;
unic_kaga_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_akagi;IJN Akagi;IJN Akagi;赤​城;same;n;;;;;;;;;;;;;;;;;;
unic_akagi_0;IJN Akagi;IJN Akagi;赤​城​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_akagi_1;Akagi;IJN Akagi;赤​城;-4;n;;;;;;;;;;;;;;;;;;
unic_akagi_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_shokaku;IJN Shōkaku;IJN Shōkaku;翔​鹤;same;n;;;;;;;;;;;;;;;;;;
unic_shokaku_0;IJN Shōkaku;IJN Shōkaku;翔​鹤​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_shokaku_1;Shōkaku;IJN Shōkaku;翔​鹤;-4;n;;;;;;;;;;;;;;;;;;
unic_shokaku_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_zuikaku;IJN Zuikaku;IJN Zuikaku;瑞​鹤;same;n;;;;;;;;;;;;;;;;;;
unic_zuikaku_0;IJN Zuikaku;IJN Zuikaku;瑞​鹤​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_zuikaku_1;Zuikaku;IJN Zuikaku;瑞​鹤;-4;n;;;;;;;;;;;;;;;;;;
unic_zuikaku_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_saratoga;USS Saratoga CV-3;USS Saratoga CV-3;萨​拉​托​加;same;n;;;;;;;;;;;;;;;;;;
unic_saratoga_0;USS Saratoga CV-3;USS Saratoga CV-3;萨​拉​托​加​号​航​空​母​舰 (CV-3);same;n;;;;;;;;;;;;;;;;;;
unic_saratoga_1;Saratoga;USS Saratoga;萨​拉​托​加;-4;n;;;;;;;;;;;;;;;;;;
unic_saratoga_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_zuiho;IJN Zuiho;IJN Zuiho;瑞​凤;same;n;;;;;;;;;;;;;;;;;;
unic_zuiho_0;IJN Zuiho;IJN Zuiho;瑞​凤​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_zuiho_1;Zuiho;IJN Zuiho;瑞​凤;-4;n;;;;;;;;;;;;;;;;;;
unic_zuiho_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_wasp;USS Wasp CV-7;USS Wasp CV-7;黄​蜂;same;n;;;;;;;;;;;;;;;;;;
unic_wasp_0;USS Wasp CV-7;USS Wasp CV-7;黄​蜂​号​航​空​母​舰 (CV-7);same;n;;;;;;;;;;;;;;;;;;
unic_wasp_1;Wasp;USS Wasp;黄​蜂;-4;n;;;;;;;;;;;;;;;;;;
unic_wasp_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_lexington;USS Lexington CV-2;USS Lexington CV-2;列​克​星​敦;same;n;;;;;;;;;;;;;;;;;;
unic_lexington_0;USS Lexington CV-2;USS Lexington CV-2;列​克​星​顿​号​航​空​母​舰 (CV-2);same;n;;;;;;;;;;;;;;;;;;
unic_lexington_1;Lexington;USS Lexington;列​克​星​敦;-4;n;;;;;;;;;;;;;;;;;;
unic_lexington_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_shoho;IJN Shoho;IJN Shoho;祥​凤;same;n;;;;;;;;;;;;;;;;;;
unic_shoho_0;IJN Shoho;IJN Shoho;祥​凤​号​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_shoho_1;Shoho;IJN Shoho;祥​凤;-4;n;;;;;;;;;;;;;;;;;;
unic_shoho_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar;Hangar;Hangar;机​库;same;n;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_0;Hangar;Hangar;机​库;same;n;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_1;Hangar;Hangar;机​库;same;n;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_2;Hangar;Hangar;机​库;same;n;;;;;;;;;;;;;;;;;;
ships/fishboat1_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat1_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat1_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat2_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat2_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat2_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat3_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat3_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat3_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat4_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat4_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat4_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat5_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat5_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat5_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat6_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat6_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat6_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat7_0;Fish⛵;Boat;渔​船;1;n;;;;;;;;;;;;;;;;;;
ships/fishboat7_1;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/fishboat7_2;⛵;Boat;渔​船;-3;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_0;Tirpitz;Battleship;战​列​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_1;Tirpitz;Battleship;战​列​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_2;Battleship;Battleship;战​列​舰;same;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_0;Zerstörer 28;Destroyer;驱​逐​舰;3;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_1;Z 28 1936A;Destroyer;驱​逐​舰;1;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_2;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_0;Illustrious;Carrier;航​空​母​舰;4;n;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_1;Illustrious;Carrier;航​空​母​舰;4;n;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/hms_leander_0;Leander;Light Cruiser;轻​巡​洋​舰;-6;n;;;;;;;;;;;;;;;;;;
ships/hms_leander_1;Leander;Light Cruiser;轻​巡​洋​舰;-6;n;;;;;;;;;;;;;;;;;;
ships/hms_leander_2;Light Cruiser;Light Cruiser;轻​巡​洋​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_0;Nagara;Light Cruiser;轻​巡​洋​舰;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_1;Nagara;Light Cruiser;轻​巡​洋​舰;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_2;Light Cruiser;Light Cruiser;轻​巡​洋​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_0;Zuikaku;Carrier;航​空​母​舰;0;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_1;Zuikaku;Carrier;航​空​母​舰;0;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_0;Zuikaku;Carrier;航​空​母​舰;0;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_1;Zuikaku;Carrier;航​空​母​舰;0;n;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_0;Ryujo;Light carrier;轻​型​航​空​母​舰;-8;n;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_1;Ryujo;Light carrier;轻​型​航​空​母​舰;-8;n;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_2;Light carrier;Light carrier;轻​型​航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_0;Shiratsuyu;Destroyer;驱​逐​舰;1;n;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_1;Shiratsuyu;Destroyer;驱​逐​舰;1;n;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_2;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_0;Daihatsu Landing craft;Landing craft;登​陆​艇;9;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_1;▅LCVP⋔;Landing craft;登​陆​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_2;▅LCVP⋔;Landing craft;登​陆​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_0;Ki Daihatsu Landing craft;Landing craft;登​陆​艇;12;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_1;▅LLCVP⋔;Landing craft;登​陆​艇;-6;n;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_2;▅LLCVP⋔;Landing craft;登​陆​艇;-6;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_0;Type 11 PT-15;Patrol boat;巡​逻​艇;2;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_1;▅PT⋛;Patrol boat;巡​逻​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_2;▅PT⋛;Patrol boat;巡​逻​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_0;Type 11 PT-15;Patrol boat;巡​逻​艇;2;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_1;▅LPT⋛;Patrol boat;巡​逻​艇;-6;n;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_2;▅LPT⋛;Patrol boat;巡​逻​艇;-6;n;;;;;;;;;;;;;;;;;;
ships/ijn_brander_0;Brander Fire boat;Fire boat;自​爆​船;8;n;;;;;;;;;;;;;;;;;;
ships/ijn_brander_1;Fire⋛;Fire boat;自​爆​船;-4;n;;;;;;;;;;;;;;;;;;
ships/ijn_brander_2;▅▐⋛;Fire boat;自​爆​船;-6;n;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_0;RN Aquila;Carrier;航​空​母​舰;2;n;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_1;Aquila;Carrier;航​空​母​舰;-1;n;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_0;Brooklyn;Light Cruiser;轻​巡​洋​舰;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_1;Brooklyn;Light Cruiser;轻​巡​洋​舰;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_2;Light Cruiser;Light Cruiser;轻​巡​洋​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_0;Wasp;Carrier;航​空​母​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_1;Wasp;Carrier;航​空​母​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_0;Wasp;Carrier;航​空​母​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_1;Wasp;Carrier;航​空​母​舰;-3;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_2;Carrier;Carrier;航​空​母​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_0;Georgetown;Destroyer;驱​逐​舰;1;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_1;Georgetown;Destroyer;驱​逐​舰;1;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_2;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_0;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_1;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_2;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_0;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_1;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_2;Destroyer;Destroyer;驱​逐​舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_0;Landing Craft VP;Landing craft;登​陆​艇;3;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_1;LCVP⋔;Landing craft;登​陆​艇;-8;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_2;LCVP⋔;Landing craft;登​陆​艇;-8;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_0;Landing Craft VP;Landing craft;登​陆​艇;3;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_1;LLCVP⋔;Landing craft;登​陆​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_2;LLCVP⋔;Landing craft;登​陆​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_0;Landing Craft VP;Landing craft;登​陆​艇;3;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_1;LCVP⋔;Landing craft;登​陆​艇;-8;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_2;LCVP⋔;Landing craft;登​陆​艇;-8;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_0;Landing Ship T Mk.2;Landing craft;登​陆​艇;6;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_1;LST (2)⋒;Landing craft;登​陆​艇;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_2;LST (2)⋒;Landing craft;登​陆​艇;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_0;Landing Ship T Mk.3;Heavy Landing craft;重​型​登​陆​舰;0;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_1;Heavy LST (3)⋓;Heavy Landing craft;重​型​登​陆​舰;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_2;Heavy LST (3)⋓;Heavy Landing craft;重​型​登​陆​舰;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_0;Landing Ship T Mk.2;Landing craft;登​陆​艇;6;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_1;LST (2)⋕;Landing craft;登​陆​艇;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_2;LST (2)⋕;Landing craft;登​陆​艇;-5;n;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_0;80' Elco Patrol boat;Patrol boat;巡​逻​艇;9;n;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_1;▃PT⋛;Patrol boat;巡​逻​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_2;▃PT⋛;Patrol boat;巡​逻​艇;-7;n;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_lite_0;80' Elco Patrol boat;Patrol boat;巡​逻​艇;9;n;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_lite_1;▃LPT⋛;Patrol boat;巡​逻​艇;-6;n;;;;;;;;;;;;;;;;;;
