Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
hints/useGunner;"Your plane is being attacked by hostile fighters; switch to gunner view to defend your aircraft.";"Your plane is being attacked by hostile fighters; switch to gunner view to defend your aircraft.";same;;;;;;;;;;;;;;;;;;;
hints/returnToBombers;Return to the planes that you must protect;Return to the planes that you must protect;same;;;;;;;;;;;;;;;;;;;
hints/returnToLeader;You're too far from the group leader. Return to formation!;You're too far from the group leader. Return to formation!;same;;;;;;;;;;;;;;;;;;;
hints/tutorial_resetTrimmer;;Reset trimming;nice;;;;;;;;;;;;;;;;;;;
hints/AD_mission_start;Establish and hold air superiority over the designated zone.;Establish and hold air superiority over the designated zone.;same;;;;;;;;;;;;;;;;;;;
hints/AfD_mission_start;Capture and hold the airfield.;Capture and hold the airfield.;same;;;;;;;;;;;;;;;;;;;
hints/BfD_mission_start;Destroy the enemy's ground equipment and bases.;Destroy the enemy's ground equipment and bases.;same;;;;;;;;;;;;;;;;;;;
hints/BC_mission_start;Destroy the enemy's bombers and protect your own;Destroy the enemy's bombers and protect your own;same;;;;;;;;;;;;;;;;;;;
hints/capture_air_start_ally;The %axis/allies% team maintains air superiority over %base name%.;The %axis/allies% team maintains air superiority over %base name%.;same;;;;;;;;;;;;;;;;;;;
hints/capture_air_start_enemy;The %axis/allies% team maintains air superiority over %base name%.;The %axis/allies% team maintains air superiority over %base name%.;same;;;;;;;;;;;;;;;;;;;
hints/base_underattack_1;The enemy is attacking the %base_name% base;The enemy is attacking the %base_name% base;same;;;;;;;;;;;;;;;;;;;
hints/base_underattack_2;The enemy is attacking the %base_name% base;The enemy is attacking the %base_name% base;same;;;;;;;;;;;;;;;;;;;
hints/base_underattack_3;The enemy is attacking the %base_name% base;The enemy is attacking the %base_name% base;same;;;;;;;;;;;;;;;;;;;
hints/point_underattack_1;Our forces in zone %zone_name% are under attack;Our forces in zone %zone_name% are under attack;same;;;;;;;;;;;;;;;;;;;
hints/point_underattack_2;Our forces in zone %zone_name% are under attack;Our forces in zone %zone_name% are under attack;same;;;;;;;;;;;;;;;;;;;
hints/point_underattack_3;Our forces in zone %zone_name% are under attack;Our forces in zone %zone_name% are under attack;same;;;;;;;;;;;;;;;;;;;
hints/base_destroyed_ally;Our base has been destroyed;Our base has been destroyed;same;;;;;;;;;;;;;;;;;;;
hints/base_destroyed_enemy;Enemy base has been destroyed;Enemy base has been destroyed;same;;;;;;;;;;;;;;;;;;;
hints/base_destroyed_all_ally;All of our bases are destroyed!;All of our bases are destroyed!;same;;;;;;;;;;;;;;;;;;;
hints/base_destroyed_all_enemy;The enemy has lost all of their bases!;The enemy has lost all of their bases!;same;;;;;;;;;;;;;;;;;;;
hints/reinforcements_ground_ally;We've received ground reinforcements;We've received ground reinforcements;same;;;;;;;;;;;;;;;;;;;
hints/reinforcements_ground_enemy;The enemy has received ground reinforcements;The enemy has received ground reinforcements;same;;;;;;;;;;;;;;;;;;;
hints/reinforcements_air_ally;We've received aerial reinforcements;We've received aerial reinforcements;same;;;;;;;;;;;;;;;;;;;
hints/reinforcements_air_enemy;The enemy has received aerial reinforcements;The enemy has received aerial reinforcements;same;;;;;;;;;;;;;;;;;;;
hints/ace_enemy;"%player_name% has received the title ""Ace"" for scoring %kill_count% kills in a row";"%player_name% has received the title ""Ace"" for scoring %kill_count% kills in a row";same;;;;;;;;;;;;;;;;;;;
hints/ace_ally;"%player_name% has received the title ""Ace"" for scoring %kill_count% kills in a row";"%player_name% has received the title ""Ace"" for scoring %kill_count% kills in a row";same;;;;;;;;;;;;;;;;;;;
hints/ace_killed_enemy;%player_name% has ended %target_player_name%'s killing spree;%player_name% has ended %target_player_name%'s killing spree;same;;;;;;;;;;;;;;;;;;;
hints/ace_killed_ally;%player_name% has ended %target_player_name%'s killing spree;%player_name% has ended %target_player_name%'s killing spree;same;;;;;;;;;;;;;;;;;;;
hints/ace_died_enemy;%player_name%'s killing spree has been ended;%player_name%'s killing spree has been ended;same;;;;;;;;;;;;;;;;;;;
hints/ace_died_ally;%player_name%'s killing spree has been ended;%player_name%'s killing spree has been ended;same;;;;;;;;;;;;;;;;;;;
hints/f1_controls;Press F1 for help with the controls;Press F1 for help with the controls;same;;;;;;;;;;;;;;;;;;;
hints/help_controls;Press {shortcut} to open the help window;Press {shortcut} to open the help window;same;;;;;;;;;;;;;;;;;;;
hints/help_controls/nokey;"Take a look at the ""Help"" menu for tips and tricks on the game";"Take a look at the ""Help"" menu for tips and tricks on the game";same;;;;;;;;;;;;;;;;;;;
hints/bombs;To show the bomb sight, select an object on the ground. Release bombs when the bomb sight's crosshair is over the target.;To show the bomb sight, select an object on the ground. Release bombs when the bomb sight's crosshair is over the target.;same;;;;;;;;;;;;;;;;;;;
hints/torpedo;To show the torpedo sight, select an object in the water. When the airplane is in a good position to fire the torpedo, the torpedo sight's crosshair will turn green.;To show the torpedo sight, select an object in the water. When the airplane is in a good position to fire the torpedo, the torpedo sight's crosshair will turn green.;same;;;;;;;;;;;;;;;;;;;
hints/rockets;Rockets, when launched, will fly towards the area targeted by your crosshair.;Rockets, when launched, will fly towards the area targeted by your crosshair.;same;;;;;;;;;;;;;;;;;;;
hints/BfD_mission;This mission includes enemy ground equipment. To destroy ground equipment, you need to use a bomber or a low-flying attack aircraft.;This mission includes enemy ground equipment. To destroy ground equipment, you need to use a bomber or a low-flying attack aircraft.;same;;;;;;;;;;;;;;;;;;;
hints/air_zone;You are in the aerial target zone. Destroy enemy airplanes in the zone, so that your squadron can gain air superiority.;You are in the aerial target zone. Destroy enemy airplanes in the zone, so that your squadron can gain air superiority.;same;;;;;;;;;;;;;;;;;;;
hints/airfield_zone;You are on the airfield's runway. Remain here to seize control over this airfield.;You are on the airfield's runway. Remain here to seize control over this airfield.;same;;;;;;;;;;;;;;;;;;;
hints/gm_zone;You are in a zone which can only be captured by ground forces.;You are in a zone which can only be captured by ground forces.;same;;;;;;;;;;;;;;;;;;;
hints/full_throttle;Push your throttle to 100% to start your take-off run.;Push your throttle to 100% to start your take-off run.;same;;;;;;;;;;;;;;;;;;;
hints/disconnect;You've spent too much time on the airfield. If you don't take off soon, you'll be disconnected from this session.;You've spent too much time on the airfield. If you don't take off soon, you'll be disconnected from this session.;same;;;;;;;;;;;;;;;;;;;
hints/instructor;This action was canceled by your instructor since it could lead to the loss of the airplane. If you feel confident enough in the air, you can turn off the instructor in the controls options.;This action was canceled by your instructor since it could lead to the loss of the airplane. If you feel confident enough in the air, you can turn off the instructor in the controls options.;same;;;;;;;;;;;;;;;;;;;
hints/auto_rearm;You are out of ammunition. Ammo resupply will occur automatically after some time has passed.;You are out of ammunition. Ammo resupply will occur automatically after some time has passed.;same;;;;;;;;;;;;;;;;;;;
hints/loose_lookup;The enemy has destroyed your spotter. Now it's harder for your team to locate hostile troops.;The enemy has destroyed your spotter. Now it's harder for your team to locate hostile troops.;same;;;;;;;;;;;;;;;;;;;
hints/tutorialB_continue;;Press any button to continue;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_retry;;Please try the maneuver again;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_immobile;;"To destroy an immobile target, you need to aim at it and shoot
Press the ""shoot"" button to destroy the balloon";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_mobile;;"Now you need to destroy a mobile target
Select it";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_forestall;;"Now you need to destroy a moving target
See that small object in front of the enemy aircraft?
That's the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_forestall_continue;;"Now you need to destroy a moving target
See that small object in front of the enemy aircraft?
That's the lead angle indicator

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_forestallNotMA;;"See that small object in front of the enemy aircraft?
That's the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_forestallNotMA_continue;;"See that small object in front of the enemy aircraft?
That's the lead angle indicator

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_cursorNotMA;;"You need to fire right at it to hit the target
Open the fire on the enemy aircraft";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_cursor;;"You need to fire right at it to hit the target
Aim and keep the mouse aim cursor at the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_shooting_initial_cursor;;"Now you need to destroy a moving target
Aim and keep the mouse aim cursor at the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_keep_aiming;;"Now your aircraft will start to turn towards the target
You need to aim the crosshair at the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_keep_aiming_continue;;"Now your aircraft will start to turn towards the target
You need to aim the crosshair at the lead angle indicator

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_keep_aiming_realtime;;"Now your aircraft has started to turn towards the target
Try to hold your cursor on the lead angle indicator";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_time_to_fire;;"Your sight and the lead angle indicator have converged
It's time to fire";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_fighter_assault;;"Machine guns and cannons are perfect for shooting at light ground vehicles
Use them to destroy the truck";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_targets_indicator;;"The ground vehicle counter will often appear during missions
It shows the number of enemy vehicles you need to destroy to win";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_targets_indicator_continue;;"The ground vehicle counter will often appear during missions
It shows the number of enemy vehicles you need to destroy to win

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_change_direction_MA;;"Now you need to steer away from the ground
To quickly change the direction your aircraft is heading, move the cursor to the edge of the screen and hold it there until the aircraft completes the turning maneuver";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_change_direction;;"Now you need to steer away from the ground
To quickly change the direction your aircraft is heading, pull the control yoke all the way back";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_practice;;Good work! Destroy the second plane;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_target_camera;;"Press the ""target camera"" button to look straight at your target";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_main;;"The aircraft's speed depends on its engine power
Decrease the power if you want to fly slower; increase it if you need to fly faster";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_main_continue;;"The aircraft's speed depends on its engine power
Decrease the power if you want to fly slower; increase it if you need to fly faster

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_speed_hint;;You can see the aircraft's current speed in the upper left corner of the screen;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_speed_hint_continue;;"You can see the aircraft's current speed in the upper left corner of the screen

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_counter_hint;;The current engine power percentage is shown above it;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_counter_hint_continue;;"The current engine power percentage is shown above it

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_decrease;;Decrease the throttle to 30%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_increase_throttle;;Use to increase engine power and fly faster;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_decrease_throttle;;Use to decrease engine power and fly slower;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_increase;;Increase the throttle to 100%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_wep;;Increase the throttle until WEP has been enabled;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_throttle_wep_hold;;"Hold to continue flying with your afterburner
The afterburner lets you fly at maximum speed";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_ground;;Fighters and attackers can carry bombs to drop while diving at ground targets;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_ground_continue;;"Fighters and attackers can carry bombs to drop while diving at ground targets

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_where_bombs_fall;;Your bomb sight shows where bombs will strike the ground;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_where_bombs_fall_continue;;"Your bomb sight shows where bombs will strike the ground

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_aim;;To hit a target, you need to place it right in the center of your sight;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_aim_continue;;"To hit a target, you need to place it right in the center of your sight

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_red_sight;;"The sight turns red when it is looking directly at the target
Drop the bombs";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_climb;;"Now you need to steer away from the ground
To quickly change the direction your aircraft is heading, move the cursor to the edge of the screen";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_rockets;;"Notice that your plane carries unguided rockets
Press the ""launch rocket"" button to fire them
As they have low accuracy, it's better to fire several rockets at one stroke";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_kill_all;;Destroy the vehicles with machine guns, bombs or rockets;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_bombers;;"Right now you're controlling a bomber
Bombers can carry heavy bombs designed to deal large amounts of damage over a wide area";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_bombers_continue;;"Right now you're controlling a bomber
Bombers can carry heavy bombs designed to deal large amounts of damage over a wide area

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_safety;;To keep themselves safe from AA fire and hostile fighters, bombers fly at high altitudes;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_safety_continue;;"To keep themselves safe from AA fire and hostile fighters, bombers fly at high altitudes

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_sight;;It's much simpler to hit a target using a bomb sight;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_sight_continue;;"It's much simpler to hit a target using a bomb sight

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_change_view;;"You can toggle between different sights with the ""toggle view"" button
Press the ""toggle view"" button twice to switch to the bomb sight";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_bomb_sight;;"You can also switch to bomb sight view directly
Press the ""bomb sight view"" button to switch to the bomb sight";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_return_third_person_view;;Press to return to third-person view;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_bombs_counter;;Amount of remaining bombs is displayed in the upper left corner;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_bombs_counter_continue;;"Amount of remaining bombs is displayed in the upper left corner

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_drop_bomb;;Drop bombs on the enemy's airfield;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_drop_all_bombs;;Drop the rest of your bombs;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_track_bomb;;"Press and hold the ""drop bomb"" button to track the bomb";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_bombing_done;;Great hit!;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_gunner_view;;"Often bombers are a target for enemy fighters. Turrets located on the plane can help you to protect yourself
Press the ""change view"" button to switch to gunner view";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_gunner_fire;;"Use the ""fire"" button to shoot at hostile aircraft; use the displayed lead angle to aim";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_enemy_retreat;;"Your enemy is retreating!
Your task has been completed!";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_fly;;You can control your plane's direction with the elevator, ailerons, and rudder;nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_howTo_fly_continue;;"You can control your plane's direction with the elevator, ailerons, and rudder

Press {{ID_CONTINUE}} to continue";nice;;;;;;;;;;;;;;;;;;;
hints/tutorialB_about_elevator;;The elevator lets you push your plane's nose down or up;nice;;;;;;;;;;;;;;;;;;;
