Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
modification/Bf-109K-4_R5/desc;Allows installing 2 x 20 mm MG151/20 cannons under the wings.;Allows the installation of 2 x 20 mm MG151/20 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_8xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_8xSC50/desc;Allows installing 50 kg bombs.;Allows the installation of 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_2xSC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_2xSC250/desc;Allows installing 2 x 250 kg bombs.;Allows the installation of 2 x 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_SC50_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_SC50_SC250/desc;Allows installing bombs up to 250 kg.;Allows the installation of two up to 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_SC500;SC 500;SC 500;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-4_SC500/desc;Allows installing 500 kg bombs.;Allows the installation of 500 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-7_SC1000;ESC 1000;ESC 1000;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-7_SC1000/desc;Allows installing a 1000 kg bomb.;Allows the installation of 1000 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-7_SC1000_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-110C-7_SC1000_SC250/desc;Allows installing bombs up to 1000 kg.;Allows the installation of up to 1000 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/he-111h-2_8xSC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/he-111h-2_8xSC250/desc;Allows installing 8 x 250 kg bombs.;Allows the installation of 8 x 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/he-111_2x1000kg_250kg_pylon;C 1000/SC 250;C 1000/SC 250;same;;;;;;;;;;;;;;;;;;;
modification/he-111_2x1000kg_250kg_pylon/desc;Allows installing 2 x 1000 kg bombs and a 250 kg bomb.;Allows the installation of 2 x 1000 kg bombs and 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/he-111_2x1000kg_pylon;SC 1000;SC 1000;same;;;;;;;;;;;;;;;;;;;
modification/he-111_2x1000kg_pylon/desc;Allows installing 2 x 1000 kg bombs.;Allows the installation of 2 x 1000 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_SC500;SC 500;SC 500;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_SC500/desc;Allows installing a 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_R1;R1 modification;R1 modification;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_R1/desc;Allows installing MG151/20 cannons under the wings.;Allows to install 4 x 20 mm MG151/20 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_R6;R6 modification;R6 modification;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190A-5_R6/desc;Allows installing 2 x Wfr.Gr.21 rockets.;Allows the installation of 210 mm rockets Wfr.Gr.21;nice;;;;;;;;;;;;;;;;;;;
modification/bf_110f-2_rz65;EG RZ.65 modification;EG RZ.65 modification;same;;;;;;;;;;;;;;;;;;;
modification/bf_110f-2_rz65/desc;Allows installing 8 x EG RZ.65 rockets.;Allows the installation of rockets EG RZ.65;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_8xSC50;SC 50 but more;SC 50;trim;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_8xSC50/desc;Allows installing 8 x 50 kg bombs.;Allows the installation of 8 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC250_4xSC50;SC 250/SC 50;SC 250/SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC250_4xSC50/desc;Allows installing a 250 kg and 4 x 50 kg bombs.;Allows the installation of 1 x 250 kg and 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC500;SC 500;SC 500;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC500/desc;Allows installing 500 kg bomb.;Allows the installation of 500 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC500_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190D-12_SC500_4xSC50/desc;Allows installing a 500 kg and 4 x 50 kg bombs.;Allows the installation of 1 x 500 kg and 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC500;SC 500;SC 500;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC500/desc;Allows installing a 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC500_4xSC50;SC 500/SC 50;SC 500 / SC 50;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC500_4xSC50/desc;Allows installing a 500 kg and 4 x 50 kg bombs.;Allows the installation of 1 x 500 kg and 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC1000;SC1000;SC1000;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC1000/desc;Allows installing a 1000 kg bomb.;Allows the installation of 1 x 1000 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC1000_4xSC50;SC 1000/SC 50;SC 1000/SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_SC1000_4xSC50/desc;Allows installing a 1000 kg and 4 x 50 kg bombs.;Allows the installation of 1 x 1000 kg and 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_R3;R3 modification;R3 modification;same;;;;;;;;;;;;;;;;;;;
modification/Fw-190F-8_R3/desc;Allows installing 2 x 30 mm MK103 gun pods under the wings.;Allows the installation of 2 x 30 mm MK103 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/ar234_SC1000;SC 1000;SC 1000;same;;;;;;;;;;;;;;;;;;;
modification/ar234_SC1000/desc;Allows installing a 1000 kg bomb.;Allows the installation of 1 x 1000 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/p_40_fuel_100;100 octane fuel;100 octane fuel;same;n;;;;;;;;;;;;;;;;;;
modification/p_40_fuel_100/desc;Allows usage of 100 octane fuel. Engine performance will be improved.;Allows usage of 100 octane fuel. Engine performance will be improved.;same;n;;;;;;;;;;;;;;;;;;
modification/la-5fn_armorplate_10/short;Rear armor plate;Rear armor plate;same;;;;;;;;;;;;;;;;;;;
modification/la-5fn_armorplate_10;Rear armor plate;Rear armor plate;same;;;;;;;;;;;;;;;;;;;
modification/la-5fn_armorplate_10/desc;8.5 mm rear armor plate will be replaced with 10 mm armor plate.;8.5 mm rear armor plate will be replaced with 10 mm armor plate.;same;n;;;;;;;;;;;;;;;;;;
modification/la-5fn_rear_armorglass_75/short;Armored glass;Armored glass;same;;;;;;;;;;;;;;;;;;;
modification/la-5fn_rear_armorglass_75;Armored glass;Armored glass;same;;;;;;;;;;;;;;;;;;;
modification/la-5fn_rear_armorglass_75/desc;66 mm rear armored glass will be replaced with 75 mm armored glass.;66 mm rear armored glass will be replaced with 75 mm armored glass.;same;n;;;;;;;;;;;;;;;;;;
modification/la-5fn_dz-40;DZ-40;DZ-40;same;;;;;;;;;;;;;;;;;;;
modification/la-5fn_dz-40/desc;Allows installing 2 x 50 kg bombs.;Allows the installation of 2 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/la-7_armorplate_10/short;Rear armor plate;Rear armor plate;same;;;;;;;;;;;;;;;;;;;
modification/la-7_armorplate_10;Rear armor plate;Rear armor plate;same;;;;;;;;;;;;;;;;;;;
modification/la-7_armorplate_10/desc;8.5 mm rear armor plate will be replaced with 10 mm armor plate.;8.5 mm rear armor plate will be replaced with 10 mm armor plate.;same;n;;;;;;;;;;;;;;;;;;
modification/la-7_rear_armorglass_75/short;Armored glass;Armored glass;same;;;;;;;;;;;;;;;;;;;
modification/la-7_rear_armorglass_75;Armored glass;Armored glass;same;;;;;;;;;;;;;;;;;;;
modification/la-7_rear_armorglass_75/desc;66 mm rear armored glass will be replaced with 75 mm armored glass.;66 mm rear armored glass will be replaced with 75 mm armored glass.;same;n;;;;;;;;;;;;;;;;;;
modification/la-7_dz-40;DZ-40;DZ-40;same;;;;;;;;;;;;;;;;;;;
modification/la-7_dz-40/desc;Allows installing 50 or 100 kg bombs.;Allows the installation of 50 or 100 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/bd-2-48;BD-2-48;BD-2-48;same;;;;;;;;;;;;;;;;;;;
modification/bd-2-48/desc;Allows installing 100 kg bombs.;Allows the installation of up to 100 kg of bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/d-4-50;D-4-50;D-4-50;same;;;;;;;;;;;;;;;;;;;
modification/d-4-50/desc;Allows installing 250 kg bombs.;Allows the installation of up to 250 kg of bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/LaGG_ro-82;RO-82;RO-82;same;;;;;;;;;;;;;;;;;;;
modification/LaGG_ro-82/desc;Allows installing RS-82 rockets.;Allows the installation of unguided RS-82 rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/LaGG_dz-40;DZ-40;DZ-40;same;;;;;;;;;;;;;;;;;;;
modification/LaGG_dz-40/desc;Allows installing 50 or 100 kg bombs.;Allows the installation of 50 kg or heavier bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/C5;S-5K;S-5K;same;;;;;;;;;;;;;;;;;;;
modification/C5/desc;Allows installing S-5K rockets.;Allows the installation of S-5K unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_j29_75mm_m55;m/55;m/55;same;;;;;;;;;;;;;;;;;;;
modification/swd_j29_75mm_m55/desc;Allows installing m/55 rockets.;Allows the installation of m/55 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_j29_145mm_m49a;m/49B;m/49B;same;;;;;;;;;;;;;;;;;;;
modification/swd_j29_145mm_m49a/desc;Allows installing m/49B rockets.;Allows the installation of m/49B unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_j29_150mm_m51;m/51;m/51;same;;;;;;;;;;;;;;;;;;;
modification/swd_j29_150mm_m51/desc;Allows installing m/51 rockets.;Allows the installation of m/51 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_j29_180mm_m49;m/49;m/49;same;;;;;;;;;;;;;;;;;;;
modification/swd_j29_180mm_m49/desc;Allows installing m/49 rockets.;Allows the installation of m/49 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_aj37_120kg_m71;m/71;m/71;same;;;;;;;;;;;;;;;;;;;
modification/swd_aj37_120kg_m71/desc;Allows installing 120 kg bombs.;Allows the installation of 120 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_rb75;Rb 75;RB75;trim;;;;;;;;;;;;;;;;;;;
modification/swd_rb75/desc;Allows installing Rb 75 missiles.;Allows the installation of RB75 guided missiles.;nice;;;;;;;;;;;;;;;;;;;
modification/swd_rb75t;Rb 75T;RB 75T;nice;;;;;;;;;;;;;;;;;;;
modification/swd_rb75t/desc;Allows installing Rb 75T missiles.;Allows the installation of RB 75T guided missiles.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m37a/desc;Allows installing 50 kg bombs.;Allows the installation of 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m37a;m/37a;m/37a;same;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m61/desc;Allows installing 120 kg bombs.;Allows the installation of 120 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m61;m/61;m/61;same;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m40/desc;Allows installing 250 kg bombs.;Allows the installation of 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m40;m/40(250);m/40(250);same;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m41/desc;Allows installing 500 kg bombs.;Allows the installation of 500 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m41;m/41;m/41;same;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m50/desc;Allows installing 600 kg bombs.;Allows the installation of 600 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_minb_m50;m/50(600);m/50(600);same;;;;;;;;;;;;;;;;;;;
modification/swe_torp_m41;m/41 (m/38);m/41 (m/38);same;;;;;;;;;;;;;;;;;;;
modification/swe_torp_m41/desc;Allows installing a torpedo.;Allows the installation of torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/swe_torp_t18b_1;m/38;m/38;same;;;;;;;;;;;;;;;;;;;
modification/swe_torp_t18b_1/desc;Allows installing a torpedo.;Allows the installation of torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/fin_50kg/desc;Allows installing 50 kg bombs.;Allows the installation of 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fin_50kg;50 kg;50 kg;same;;;;;;;;;;;;;;;;;;;
modification/fin_100kg/desc;Allows installing 100 kg bombs.;Allows the installation of 100 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fin_100kg;100 kg;100 kg;same;;;;;;;;;;;;;;;;;;;
modification/fr_75kg/desc;Allows installing 75 kg bombs.;Allows the installation of 75 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_75kg;75 kg;75 kg;same;;;;;;;;;;;;;;;;;;;
modification/fr_150kg/desc;Allows installing 150 kg bombs.;Allows the installation of 150 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_150kg;150 kg;150 kg;same;;;;;;;;;;;;;;;;;;;
modification/fr_40cm_1926;1926DA;1926DA;same;;;;;;;;;;;;;;;;;;;
modification/fr_40cm_1926/desc;Allows installing torpedo.;Allows the installation of torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/j_7_hf5;HF-5;HF-5;same;;;;;;;;;;;;;;;;;;;
modification/j_7_hf5/desc;Allows installing Type 57-1 rockets.;Allows the installation of Type 57-1 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/cn_hf25b;HF-25B;HF-25B;same;;;;;;;;;;;;;;;;;;;
modification/cn_hf25b/desc;Allows installing Type 70 rockets.;Allows the installation of Type 70 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/cn_hf27;HF-27;HF-27;same;;;;;;;;;;;;;;;;;;;
modification/cn_hf27/desc;Allows installing Type 57-2 rockets.;Allows the installation of Type 57-2 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/cn_q5_hf6;HF-6;HF-6;same;;;;;;;;;;;;;;;;;;;
modification/cn_q5_hf6/desc;Allows installing Type 90-1 rockets.;Allows the installation of Type 90-1 unguided rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/q_5b_type130;HF-14;HF-14;same;;;;;;;;;;;;;;;;;;;
