Column1;Column2;Column3;Column4;Column5;Column6;Column7
controls/aim_acceleration_delay_submarine;Aim acceleration delay;Aim acceleration delay;nice;;;
controls/modifier;Modifier button;Modifier button;nice;;;
options/none;None;None;same;;;
options/skip;Skip;Skip;same;;;
controls/noModifier;Select a button;Select a button;nice;;;
controls/cross;Select a target;Select a target;nice;;;
controls/square;Zoom;Zoom;same;;;
controls/circle;Map;Map;same;;;
controls/triangle;Change view;Change view;nice;;;
controls/RS;Yaw / Throttle / Camera;Yaw / Throttle / Camera;nice;;;
controls/R3;None;None;same;;;
controls/R1;Bombs / Torpedoes;Bombs / Torpedoes;nice;;;
controls/R2;Fire;Fire;same;;;
controls/start;Menu;Menu;same;;;
controls/dpad_up;Landing gear;Landing gear;nice;;;
controls/dpad_left;None;None;same;;;
controls/dpad_right;None;None;same;;;
controls/dpad_down;Camera control;Camera control;nice;;;
controls/L1;Rockets;Rockets;same;;;
controls/L2;Target camera;Target camera;nice;;;
controls/LS;Roll / Pitch;Roll / Pitch;nice;;;
controls/L3;None;None;same;;;
controls/select;Multiplayer statistics;Multiplayer statistics;nice;;;
controls/flir_x;Turret X-axis;Turret X-axis;nice;;;
controls/flir_y;Turret Y-axis;Turret Y-axis;nice;;;
controls/weapon;;;same;;;
controls/lack_of_oxygen;Lack of oxygen;Lack of oxygen;nice;;;
composite/Controller 1;Controller 1;Controller 1;same;;;
composite/Controller 2;Controller 2;Controller 2;same;;;
composite/Controller 3;Controller 3;Controller 3;same;;;
composite/Controller 4;Controller 4;Controller 4;same;;;
composite/axis;Axis ;Axis ;nice;;;
composite/button;Button ;Button ;nice;;;
composite/pov;POV ;POV ;nice;;;
composite/pov0;POV 1;POV 1;nice;;;
composite/pov1;POV 2;POV 2;nice;;;
composite/pov2;POV 3;POV 3;nice;;;
composite/pov3;POV 4;POV 4;nice;;;
composite/device_is_offline;Device is disconnected/switched off;Device is disconnected/switched off;nice;;;
composite/device_is_offline_short;Off;Off;same;;;
xinp/D.Up;D-pad Up;D-pad Up;nice;;;
xinp/D.Down;D-pad Down;D-pad Down;nice;;;
xinp/D.Left;D-pad Left;D-pad Left;nice;;;
xinp/D.Right;D-pad Right;D-pad Right;nice;;;
xinp/Start;START button;START button;nice;;;
xinp/Select;BACK button;BACK button;nice;;;
xinp/L3;LS;LS;same;;;
xinp/R3;RS;RS;same;;;
xinp/L3.Centered;LS;LS;same;;;
xinp/R3.Centered;RS;RS;same;;;
xinp/L1;LB;LB;same;;;
xinp/R1;RB;RB;same;;;
xinp/CROSS;A button;A button;nice;;;
xinp/CIRCLE;B button;B button;nice;;;
xinp/SQUARE;X button;X button;nice;;;
xinp/TRIANGLE;Y button;Y button;nice;;;
xinp/L2;LT;LT;same;;;
xinp/R2;RT;RT;same;;;
xinp/LS.Up;LS Up;LS Up;nice;;;
xinp/LS.Down;LS Down;LS Down;nice;;;
xinp/LS.Left;LS Left;LS Left;nice;;;
xinp/LS.Right;LS Right;LS Right;nice;;;
xinp/RS.Up;RS Up;RS Up;nice;;;
xinp/RS.Down;RS Down;RS Down;nice;;;
xinp/RS.Left;RS Left;RS Left;nice;;;
xinp/RS.Right;RS Right;RS Right;nice;;;
controls/relativeAxis;Relative control;Relative control;nice;;;
controls/keepDisabledValue;Keep value for disabled axis;Keep value for disabled axis;nice;;;
controls/trim_elevator;Elevator Trim Axis;Elevator Trim Axis;nice;;;
hotkeys/trim_elevator;Elevator Trim Axis;Elevator Trim Axis;nice;;;
controls/helicopter_trim_elevator;Elevator Trim Axis;Elevator Trim Axis;nice;;;
hotkeys/vtol_rangeMax;VTOL Positive;VTOL Positive;nice;;;
hotkeys/vtol_rangeMin;VTOL Negative;VTOL Negative;nice;;;
hotkeys/vtol_rangeSet;Reset VTOL;Reset VTOL;nice;;;
hotkeys/vtol;VTOL;VTOL;same;;;
hotkeys/helicopter_trim_elevator;Elevator Trim Axis;Elevator Trim Axis;nice;;;
hotkeys/trim_elevator_rangeMin;Elevator Trim Negative;Elevator Trim Negative;nice;;;
hotkeys/trim_elevator_rangeMax;Elevator Trim Positive;Elevator Trim Positive;nice;;;
hotkeys/trim_elevator_rangeInc;Elevator Trim Positive;Elevator Trim Positive;nice;;;
hotkeys/trim_elevator_rangeDec;Elevator Trim Negative;Elevator Trim Negative;nice;;;
hotkeys/trim_elevator_rangeSet;Reset elevator trim axis;Reset elevator trim axis;nice;;;
controls/trim_ailerons;Aileron Trim Axis;Aileron Trim Axis;nice;;;
hotkeys/trim_ailerons;Aileron Trim Axis;Aileron Trim Axis;nice;;;
controls/helicopter_trim_ailerons;Aileron Trim Axis;Aileron Trim Axis;nice;;;
hotkeys/helicopter_trim_ailerons;Aileron Trim Axis;Aileron Trim Axis;nice;;;
hotkeys/trim_ailerons_rangeMin;Aileron Trim Left;Aileron Trim Left;nice;;;
hotkeys/trim_ailerons_rangeMax;Aileron Trim Right;Aileron Trim Right;nice;;;
hotkeys/trim_ailerons_rangeInc;Aileron Trim Right;Aileron Trim Right;nice;;;
hotkeys/trim_ailerons_rangeDec;Aileron Trim Left;Aileron Trim Left;nice;;;
hotkeys/trim_ailerons_rangeSet;Reset aileron trim axis;Reset aileron trim axis;nice;;;
controls/trim_rudder;Rudder Trim Axis;Rudder Trim Axis;nice;;;
hotkeys/trim_rudder;Rudder Trim Axis;Rudder Trim Axis;nice;;;
controls/helicopter_trim_rudder;Rudder Trim Axis;Rudder Trim Axis;nice;;;
hotkeys/helicopter_trim_rudder;Rudder Trim Axis;Rudder Trim Axis;nice;;;
hotkeys/trim_rudder_rangeMax;Rudder Trim Right;Rudder Trim Right;nice;;;
hotkeys/trim_rudder_rangeMin;Rudder Trim Left;Rudder Trim Left;nice;;;
hotkeys/trim_rudder_rangeInc;Rudder Trim Right;Rudder Trim Right;nice;;;
hotkeys/trim_rudder_rangeDec;Rudder Trim Left;Rudder Trim Left;nice;;;
hotkeys/trim_rudder_rangeSet;Reset rudder trim axis;Reset rudder trim axis;nice;;;
controls/brake;Wheel brake;Wheel brake;nice;;;
controls/kMul;Multiplier;Multiplier;same;;;
controls/kAdd;Correction;Correction;same;;;
controls/head_pos_x;Head movement: forward-backward;Head movement: forward-backward;nice;;;
hotkeys/head_pos_x;Head movement: forward-backward;Head movement: forward-backward;nice;;;
controls/head_pos_y;Head movement: upward-downward;Head movement: upward-downward;nice;;;
hotkeys/head_pos_y;Head movement: upward-downward;Head movement: upward-downward;nice;;;
controls/head_pos_z;Head movement: left-right;Head movement: left-right;nice;;;
hotkeys/head_pos_z;Head movement: left-right;Head movement: left-right;nice;;;
hotkeys/head_pos_x_rangeMin;Head movement: backward;Head movement: backward;nice;;;
hotkeys/head_pos_x_rangeMax;Head movement: forward;Head movement: forward;nice;;;
hotkeys/head_pos_x_rangeSet;Head movement: reset position (X-axis);Head movement: reset position (X-axis);nice;;;
hotkeys/head_pos_y_rangeMin;Head movement: downward;Head movement: downward;nice;;;
hotkeys/head_pos_y_rangeMax;Head movement: upward;Head movement: upward;nice;;;
hotkeys/head_pos_y_rangeSet;Head movement: reset position (Y-axis);Head movement: reset position (Y-axis);nice;;;
hotkeys/head_pos_z_rangeMin;Head movement: left;Head movement: left;nice;;;
hotkeys/head_pos_z_rangeMax;Head movement: right;Head movement: right;nice;;;
hotkeys/head_pos_z_rangeSet;Head movement: reset position (Z-axis);Head movement: reset position (Z-axis);nice;;;
controls/wheelBrakeOn;Wheel Brakes on;Wheel Brakes on;nice;;;
controls/wheelBrakeOff;Wheel Brakes off;Wheel Brakes off;nice;;;
controls/airbrakeOn;Airbrake: Extended;Airbrake: Extended;nice;;;
controls/airbrakeOff;Airbrake: Retracted;Airbrake: Retracted;nice;;;
controls/noAirbrake;;No Airbrake;nice;;;
HUD_CRIT_AIRBRAKE;Retract Airbrake;Retract Airbrake;nice;;;
controls/airbrakeIsNotAvailableOnGround;Airbrake cannot be extended while on the ground;Airbrake cannot be extended while on the ground;nice;;;
controls/airbrakeSnappedOff;Airbrake inoperative;Airbrake inoperative;nice;;;
controls/autoPropPitch;Auto Prop. Pitch;Auto Prop. Pitch;nice;;;
controls/autoPropPitchOn;Auto Prop. Pitch: Enabled;Auto Prop. Pitch: Enabled;nice;;;
controls/autoPropPitchOff;Auto Prop. Pitch: Disabled;Auto Prop. Pitch: Disabled;nice;;;
controls/autoPropPitchNone;No auto prop pitch control;No auto prop pitch control;nice;;;
controls/tailControlDamaged;Tail control damaged;Tail control damaged;nice;;;
controls/wingControlDamaged;Wing control damaged;Wing control damaged;nice;;;
controls/controlsDamaged;Flight control damaged;Flight control damaged;nice;;;
controls/weaponControlsDamaged;Weapon control systems inoperable;Avionics damaged, weapon control systems cannot be used;nice;;;
controls/guidanceDamaged;Guided weapon control systems inoperable;Avionics damaged, guided weapon control systems cannot be used;nice;;;
controls/sensorsDamaged;Sensors damaged;Sensors damaged;nice;;;
controls/radarDamaged;Radar damaged;Radar damaged;nice;;;
controls/rwrDamaged;IRCM damaged;IRCM damaged;nice;;;
controls/twsDamaged;TWS damaged;TWS damaged;nice;;;
controls/opticsDamaged;Targeting optics damaged;Targeting optics damaged;nice;;;
controls/targetingPodDamaged;Targeting pod damaged;Targeting pod damaged;nice;;;
controls/countermeasuresDamaged;IRCM damaged;IRCM damaged;nice;;;
controls/laserDesignatorDamaged;Laser damaged;Laser damaged;nice;;;
controls/nightVisionDamaged;NVDs inoperable;Avionics damaged, NVD systems cannot be used;nice;;;
controls/indicatorsDamaged;MFD/HUD systems inoperable;Avionics damaged, MFD/HUD systems cannot be used;nice;;;
controls/superchargerOn;Supercharger On;Supercharger On;nice;;;
controls/superchargerOff;Supercharger Off;Supercharger Off;nice;;;
controls/superchargerGear;Supercharger Gear;Supercharger Gear;nice;;;
controls/superchargerStep1;Supercharger Gear: 1;Supercharger Gear: 1;nice;;;
controls/superchargerStep2;Supercharger Gear: 2;Supercharger Gear: 2;nice;;;
controls/superchargerStep3;Supercharger Gear: 3;Supercharger Gear: 3;nice;;;
controls/superchargerStep4;Supercharger Gear: 4;Supercharger Gear: 4;nice;;;
controls/superchargerStep5;Supercharger Gear: 5;Supercharger Gear: 5;nice;;;
controls/superchargerStep6;Supercharger Gear: 6;Supercharger Gear: 6;nice;;;
controls/superchargerStep7;Supercharger Gear: 7;Supercharger Gear: 7;nice;;;
controls/superchargerStep8;Supercharger Gear: 8;Supercharger Gear: 8;nice;;;
controls/noTrimAileronControl;No aileron trim control;No aileron trim control;nice;;;
controls/noTrimRudderControl;No rudder trim control;No rudder trim control;nice;;;
controls/noTrimElevatorControl;No elevator trim control;No elevator trim control;nice;;;
controls/aileronsAreSnappedOff;Trim unavailable: ailerons inoperative;Trim unavailable: ailerons inoperative;nice;;;
controls/rudderIsSnappedOff;Trim unavailable: rudder inoperative;Trim unavailable: rudder inoperative;nice;;;
controls/elevatorIsSnappedOff;Trim unavailable: elevator inoperative;Trim unavailable: elevator inoperative;nice;;;
controls/noSupercharger;;No supercharger control;nice;;;
controls/no_rocket_guns;;No rockets;nice;;;
controls/no_rockets_left;Out of rockets;Out of rockets;nice;;;
controls/no_bomb_guns;;No bombs;nice;;;
controls/no_bombs_left;Out of bombs;Out of bombs;nice;;;
controls/no_torpedoes_left;Out of torpedoes;Out of torpedoes;nice;;;
controls/no_ammo_left;You are out of ammunition. Reloading is not possible.;You are out of ammunition. Reloading is not possible.;nice;;;
controls/no_ammo_left_warning_header;;;same;;;
controls/no_guns_and_cannons;;No armament on the aircraft;nice;;;
controls/no_guns;;No small-caliber guns on the aircraft;nice;;;
controls/no_cannons;;No large-caliber guns on the aircraft;nice;;;
controls/no_additional_guns;;No additional guns on the aircraft;nice;;;
controls/no_schraege_musik;;"No ""Schräge Musik"" cannon on the aircraft";nice;;;
controls/no_bullets_left;Out of ammo;Out of ammo;nice;;;
controls/too_low_to_bailout;Too low to bailout;Too low to bailout;nice;;;
controls/no_additional_guns_bullets_left;Additional guns are out of ammo;Additional guns are out of ammo;nice;;;
controls/no_cannon_bullets_left;Cannons are out of ammo;Cannons are out of ammo;nice;;;
controls/no_schraege_musik_bullets_left;"""Schräge Musik"" cannon are out of ammo";"""Schräge Musik"" cannon are out of ammo";nice;;;
controls/no_air_drops_left;;No airdrops;nice;;;
hotkeys/ID_FUEL_TANKS;Drop additional fuel tank;Drop additional fuel tank;nice;;;
hotkeys/ID_TOGGLE_FUEL_DUMPING;Fuel dumping;Fuel dumping;nice;;;
hotkeys/ID_AIR_DROP;Air drop;Air drop;nice;;;
hotkeys/ID_WEAPON_LOCK;Weapon lock (air-to-air);Weapon lock (air-to-air);nice;;;
hotkeys/ID_AGM_LOCK;Weapon lock (air-to-ground);Weapon lock (air-to-ground);nice;;;
hotkeys/ID_SENSORS_HEADER;Radar/IRST control;Radar/IRST control;nice;;;
hotkeys/ID_SENSORS_HELICOPTER_HEADER;Radar/IRST heli control;Radar/IRST control;trim;;;
hotkeys/ID_SENSORS_TANK_HEADER;Radar/IRST tank control;Radar/IRST control;trim;;;
hotkeys/ID_SENSORS_SHIP_HEADER;Radar/IRST ship control;Radar/IRST control;trim;;;
hotkeys/ID_SENSOR_TYPE_SWITCH;Switch between Radar and IRST;Switch between Radar and IRST;nice;;;
hotkeys/ID_SENSOR_MODE_SWITCH;Change Radar/IRST mode;Change Radar/IRST mode;nice;;;
hotkeys/ID_SENSOR_SWITCH;Switch Radar/IRST search on/off;Switch Radar/IRST search on/off;nice;;;
hotkeys/ID_SENSOR_SCAN_PATTERN_SWITCH;Change Radar/IRST search mode;Change Radar/IRST search mode;nice;;;
hotkeys/ID_SENSOR_STABILIZATION_SWITCH;Switch Radar/IRST elevation stabilization on/off;Switch Radar/IRST elevation stabilization on/off;nice;;;
hotkeys/ID_SENSOR_DIRECTION_AXES_RESET;Reset Radar/IRST direction to boresight;Reset Radar/IRST direction to boresight;nice;;;
hotkeys/ID_SENSOR_RANGE_SWITCH;Change Radar/IRST scope scale;Change Radar/IRST scope scale;nice;;;
hotkeys/ID_SENSOR_ACM_SWITCH;Radar/IRST beyond/within visual range combat;Radar/IRST beyond/within visual range combat;nice;;;
hotkeys/ID_SENSOR_TARGET_SWITCH;Select Radar/IRST target to lock;Select Radar/IRST target to lock;nice;;;
hotkeys/ID_SENSOR_TARGET_LOCK;Lock Radar/IRST on target;Lock Radar/IRST on target;nice;;;
controls/sensor_cue_x;Horizontal Radar/IRST target cue control axis;Horizontal Radar/IRST target cue control axis;nice;;;
controls/sensor_cue_y;Vertical Radar/IRST target cue control axis;Vertical Radar/IRST target cue control axis;nice;;;
controls/sensor_cue_z;Radar/IRST tilt control axis;Radar/IRST tilt control axis;nice;;;
hotkeys/ID_SENSOR_TYPE_SWITCH_HELICOPTER;Switch between Radar and IRST;Switch between Radar and IRST;nice;;;
hotkeys/ID_SENSOR_MODE_SWITCH_HELICOPTER;Change radar mode;Change radar mode;nice;;;
hotkeys/ID_SENSOR_SWITCH_HELICOPTER;Switch radar search on/off;Switch radar search on/off;nice;;;
hotkeys/ID_SENSOR_SCAN_PATTERN_SWITCH_HELICOPTER;Change radar search mode;Change radar search mode;nice;;;
hotkeys/ID_SENSOR_RANGE_SWITCH_HELICOPTER;Change radar scope scale;Change radar scope scale;nice;;;
hotkeys/ID_SENSOR_STABILIZATION_SWITCH_HELICOPTER;Switch Radar/IRST elevation stabilization on/off;Switch Radar/IRST elevation stabilization on/off;nice;;;
hotkeys/ID_SENSOR_DIRECTION_AXES_RESET_HELICOPTER;Reset Radar/IRST direction to boresight;Reset Radar/IRST direction to boresight;nice;;;
hotkeys/ID_SENSOR_ACM_SWITCH_HELICOPTER;Radar/IRST beyond/within visual range combat;Radar/IRST beyond/within visual range combat;nice;;;
hotkeys/ID_SENSOR_TARGET_SWITCH_HELICOPTER;Select radar target to lock on;Select radar target to lock on;nice;;;
hotkeys/ID_SENSOR_TARGET_LOCK_HELICOPTER;Lock radar target on;Lock radar target on;nice;;;
controls/helicopter_sensor_cue_x;Horizontal Radar/IRST target cue control axis;Horizontal Radar/IRST target cue control axis;nice;;;
controls/helicopter_sensor_cue_y;Vertical Radar/IRST target cue control axis;Vertical Radar/IRST target cue control axis;nice;;;
controls/helicopter_sensor_cue_z;Radar/IRST tilt control axis;Radar/IRST tilt control axis;nice;;;
hotkeys/ID_SENSOR_TYPE_SWITCH_TANK;Switch between Radar and IRST;Switch between Radar and IRST;nice;;;
hotkeys/ID_SENSOR_MODE_SWITCH_TANK;Change Radar/IRST mode;Change Radar/IRST mode;nice;;;
hotkeys/ID_SENSOR_SWITCH_TANK;Switch Radar/IRST search on/off;Switch Radar/IRST search on/off;nice;;;
hotkeys/ID_SENSOR_SCAN_PATTERN_SWITCH_TANK;Change Radar/IRST search mode;Change Radar/IRST search mode;nice;;;
hotkeys/ID_SENSOR_RANGE_SWITCH_TANK;Change Radar/IRST scope scale;Change Radar/IRST scope scale;nice;;;
hotkeys/ID_SENSOR_ACM_SWITCH_TANK;Radar/IRST beyond/within visual range combat;Radar/IRST beyond/within visual range combat;nice;;;
hotkeys/ID_SENSOR_TARGET_SWITCH_TANK;Select Radar/IRST target to lock on;Select Radar/IRST target to lock on;nice;;;
hotkeys/ID_SENSOR_TARGET_LOCK_TANK;Lock Radar/IRST target on;Lock Radar/IRST target on;nice;;;
hotkeys/ID_GROUP_SENSORS_MODE_TANK;Radar/IRST group mode;Radar/IRST group mode;nice;;;
controls/gm_sensor_cue_x;Horizontal Radar/IRST target cue control axis;Horizontal Radar/IRST target cue control axis;nice;;;
controls/gm_sensor_cue_y;Vertical Radar/IRST target cue control axis;Vertical Radar/IRST target cue control axis;nice;;;
controls/gm_sensor_cue_z;Radar/IRST tilt control axis;Radar/IRST tilt control axis;nice;;;
hotkeys/ID_WEAPON_LEAD_SHIP;Switch guidance method;Switch guidance method;nice;;;
hotkeys/ID_SENSOR_MODE_SWITCH_SHIP;Change radar mode;Change radar mode;nice;;;
hotkeys/ID_SENSOR_SWITCH_SHIP;Toggle radar search on/off;Toggle radar search on/off;nice;;;
hotkeys/ID_SENSOR_SCAN_PATTERN_SWITCH_SHIP;Change radar search mode;Change radar search mode;nice;;;
hotkeys/ID_SENSOR_RANGE_SWITCH_SHIP;Change radar scope scale;Change radar scope scale;nice;;;
hotkeys/ID_SENSOR_TARGET_SWITCH_SHIP;Select radar target to lock on;Select radar target to lock on;nice;;;
hotkeys/ID_SENSOR_TARGET_LOCK_SHIP;Lock radar target on;Lock radar target on;nice;;;
hotkeys/ID_GROUP_SENSORS_MODE_SHIP;Radar/IRST group mode;Radar/IRST group mode;nice;;;
controls/ship_sensor_cue_x;Horizontal Radar/IRST target cue control axis;Horizontal Radar/IRST target cue control axis;nice;;;
controls/ship_sensor_cue_y;Vertical Radar/IRST target cue control axis;Vertical Radar/IRST target cue control axis;nice;;;
controls/ship_sensor_cue_z;Radar/IRST tilt control axis;Radar/IRST tilt control axis;nice;;;
hotkeys/ID_IRCM_SWITCH_HELICOPTER;Switch IRCM on/off;Switch IRCM on/off;nice;;;
hotkeys/ID_IRCM_SWITCH_TANK;Switch IRCM on/off;Switch IRCM on/off;nice;;;
hotkeys/ID_IRCM_SWITCH_PLANE;Switch IRCM on/off;Switch IRCM on/off;nice;;;
hotkeys/ID_MFD_AND_NVD_DISPLAYS_HEADER;MFD / NVD;MFD / NVD;nice;;;
hotkeys/ID_MFD_1_PAGE;Switch MFD 1 mode;Switch MFD 1 mode;nice;;;
hotkeys/ID_MFD_2_PAGE;Switch MFD 2 mode;Switch MFD 2 mode;nice;;;
hotkeys/ID_MFD_3_PAGE;Switch MFD 3 mode;Switch MFD 3 mode;nice;;;
hotkeys/ID_MFD_4_PAGE;Switch MFD 4 mode;Switch MFD 4 mode;nice;;;
hotkeys/ID_MFD_1_PAGE_PLANE;Switch MFD 1 mode;Switch MFD 1 mode;nice;;;
hotkeys/ID_MFD_2_PAGE_PLANE;Switch MFD 2 mode;Switch MFD 2 mode;nice;;;
hotkeys/ID_MFD_3_PAGE_PLANE;Switch MFD 3 mode;Switch MFD 3 mode;nice;;;
hotkeys/ID_MFD_4_PAGE_PLANE;Switch MFD 4 mode;Switch MFD 4 mode;nice;;;
hotkeys/ID_MFD_ZOOM;Switch MFD camera zoom;Switch MFD camera zoom;nice;;;
hotkeys/ID_MFD_ZOOM_PLANE;Switch MFD camera zoom;Switch MFD camera zoom;nice;;;
hotkeys/ID_MFD_TARGET_LOCK;Set MFD capture point;Set MFD capture point;nice;;;
hotkeys/ID_HELI_GUNNER_NIGHT_VISION;Switch NVD mode;Switch NVD mode;nice;;;
hotkeys/ID_PLANE_NIGHT_VISION;Switch NVD mode;Switch NVD mode;nice;;;
hotkeys/ID_NEXT_BULLET_TYPE;Next shell type;Next shell type;nice;;;
hotkeys/ID_SHIP_NEXT_BULLET_TYPE;Next shell type;Next shell type;nice;;;
hotkeys/ID_SHIP_SELECTWEAPON_WHEEL_MENU;Weapon selection menu;Weapon selection menu;nice;;;
controls/no_external_ful_tanks_left;;No external fuel tanks;nice;;;
hotkeys/ID_HELICOPTER_MODE_HEADER;Controls mode;Controls mode;nice;;;
hotkeys/ID_HELICOPTER_OTHER_HEADER;Miscellaneous;Miscellaneous;same;;;
controls/helicopter_collective;Collective pitch;Collective pitch;nice;;;
hotkeys/helicopter_collective;Enable prop. pitch axis;Enable prop. pitch axis;nice;;;
hotkeys/helicopter_collective_rangeMin;Prop. pitch down;Prop. pitch down;nice;;;
hotkeys/helicopter_collective_rangeMax;Prop. pitch up;Prop. pitch up;nice;;;
hotkeys/helicopter_collective_rangeDec;Prop. pitch down;Prop. pitch down;nice;;;
hotkeys/helicopter_collective_rangeInc;Prop. pitch up;Prop. pitch up;nice;;;
hotkeys/helicopter_collective_rangeSet;Reset prop. pitch axis;Reset prop. pitch axis;nice;;;
controls/helicopter_cyclic_pitch;Pitch axis;Pitch axis;nice;;;
hotkeys/helicopter_cyclic_pitch;Enable pitch axis;Enable pitch axis;nice;;;
hotkeys/helicopter_cyclic_pitch_rangeMin;Pitch down;Pitch down;nice;;;
hotkeys/helicopter_cyclic_pitch_rangeMax;Pitch up;Pitch up;nice;;;
hotkeys/helicopter_cyclic_pitch_rangeDec;Pitch down;Pitch down;nice;;;
hotkeys/helicopter_cyclic_pitch_rangeInc;Pitch up;Pitch up;nice;;;
hotkeys/helicopter_cyclic_pitch_rangeSet;Reset pitch axis;Reset pitch axis;nice;;;
controls/helicopter_cyclic_roll;Roll axis;Roll axis;nice;;;
hotkeys/helicopter_cyclic_roll;Enable roll axis;Enable roll axis;nice;;;
hotkeys/helicopter_cyclic_roll_rangeMin;Roll left;Roll left;nice;;;
hotkeys/helicopter_cyclic_roll_rangeMax;Roll right;Roll right;nice;;;
hotkeys/helicopter_cyclic_roll_rangeDec;Roll left;Roll left;nice;;;
hotkeys/helicopter_cyclic_roll_rangeInc;Roll right;Roll right;nice;;;
hotkeys/helicopter_cyclic_roll_rangeSet;Reset roll axis;Reset roll axis;nice;;;
controls/helicopter_pedals;Yaw axis;Yaw axis;nice;;;
hotkeys/helicopter_pedals;Enable yaw axis;Enable yaw axis;nice;;;
hotkeys/helicopter_pedals_rangeMin;Yaw left;Yaw left;nice;;;
hotkeys/helicopter_pedals_rangeMax;Yaw right;Yaw right;nice;;;
hotkeys/helicopter_pedals_rangeDec;Yaw left;Yaw left;nice;;;
hotkeys/helicopter_pedals_rangeInc;Yaw right;Yaw right;nice;;;
hotkeys/helicopter_pedals_rangeSet;Reset yaw axis;Reset yaw axis;nice;;;
controls/helicopter_cyclic_roll_sens;Roll sensitivity;Roll sensitivity;nice;;;
controls/helicopter_cyclic_pitch_sens;Pitch sensitivity;Pitch sensitivity;nice;;;
controls/helicopter_pedals_sens;Yaw sensitivity;Yaw sensitivity;nice;;;
controls/helicopter_holdThrottleForWEP;Hold throttle for WEP;Hold throttle for WEP;nice;;;
controls/helicopter_fire;Fire (Machine Guns / Cannons);Fire (Machine Guns / Cannons);nice;;;
hotkeys/helicopter_fire;Enable fire axis;Enable fire axis;nice;;;
hotkeys/helicopter_fire_rangeSet;Reset fire axis;Reset fire axis;nice;;;
hotkeys/helicopter_fire_rangeMin;Minimum fire axis;Minimum fire axis;nice;;;
hotkeys/helicopter_fire_rangeMax;Maximum fire axis;Maximum fire axis;nice;;;
hotkeys/helicopter_fire_rangeDec;Decrease fire axis;Decrease fire axis;nice;;;
hotkeys/helicopter_fire_rangeInc;Increase fire axis;Increase fire axis;nice;;;
hotkeys/ID_TOGGLE_INSTRUCTOR_HELICOPTER;Toggle controls mode;Toggle controls mode;nice;;;
hotkeys/ID_CONTROL_MODE_HELICOPTER;Hover mode;Hover mode;nice;;;
hotkeys/ID_FBW_MODE_HELICOPTER;Toggle SAS mode;Toggle SAS mode;nice;;;
hotkeys/ID_FBW_MODE;Toggle SAS mode;Toggle SAS mode;nice;;;
hotkeys/ID_FIRE_MGUNS_HELICOPTER;Small-caliber guns;Small-caliber guns;nice;;;
hotkeys/ID_FIRE_CANNONS_HELICOPTER;Large-caliber guns;Large-caliber guns;nice;;;
