Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
icon/hud_msg_mp_dmg/kill_s_t;⋙;▤;nice;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_s_s;⋙;▤;nice;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_zone;CUM≁;≁;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/killed_by_worm;▼;▼;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/killed_by_burav;◑;◑;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/crash_a;<color=#b00baa>has a skill issue■</color>;■;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/crash_t;<color=#b00baa>has a skill issue▕</color>;▕;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/crash_s;<color=#b00baa>has a skill issue▕</color>;▕;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/severe_damage;⋟;⋟;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/crit;<color=#b00baa>░</color>;░;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/burn;<color=#b00baa>▐</color>;▐;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/exit;<color=#b00baa>␡</color>;␡;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/torpedo;<color=#699dcd>⌋</color>;⌋;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/mine;<color=#699dcd>⋄</color>;⋄;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/depth_bomb;<color=#699dcd>⌊</color>;⌊;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/bomb;<color=#88bc56>▢</color>;▢;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/bullet;<color=#88bc56>▥</color>;▥;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/shell;<color=#cc6145>▦</color>;▦;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/rocket;<color=#88bc56>▣</color>;▣;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/artillery;<color=#cc6145>┗</color>;┗;trim;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/air_defense;<color=#cc6145>▤</color>;▤;trim;;;;;;;;;;;;;;;;;;;;
icon/unitclass/assault;┞;┞;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/bomber;┠;┠;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/heavy_bomber;┢;┢;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/fighter;┤;┤;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/fighter_assault;┦;┦;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/attack_helicopter;┞;┞;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/utility_helicopter;┠;┠;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/heavy_tank;┨;┨;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/light_tank;┪;┪;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/medium_tank;┬;┬;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/spaa;┰;┰;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/tank_destroyer;┴;┴;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/ship;┮;┮;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/gun_boat;␉;␉;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/heavy_gun_boat;␊;␊;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/naval_ferry_barge;␋;␋;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/destroyer;␌;␌;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/light_cruiser;␎;␎;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/cruiser;␏;␏;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/battlecruiser;␐;␐;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/battleship;␑;␑;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/submarine;␒;␒;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/ufo;┞;┞;same;;;;;;;;;;;;;;;;;;;;
icon/unitclass/suit;╅;╅;same;;;;;;;;;;;;;;;;;;;;
icon/unittype/aircraft;▭;▭;same;;;;;;;;;;;;;;;;;;;;
icon/unittype/tank;▮;▮;same;;;;;;;;;;;;;;;;;;;;
icon/unittype/boat;⋛;⋛;same;;;;;;;;;;;;;;;;;;;;
icon/unittype/ship;┚;┚;same;;;;;;;;;;;;;;;;;;;;
icon/unittype/helicopter;⋡;⋡;same;;;;;;;;;;;;;;;;;;;;
icon/tutorial;╵;╵;same;;;;;;;;;;;;;;;;;;;;
icon/battleTasks;╴;╴;same;;;;;;;;;;;;;;;;;;;;
icon/events;╳;╳;same;;;;;;;;;;;;;;;;;;;;
icon/news;╲;╲;same;;;;;;;;;;;;;;;;;;;;
icon/spare;╢;╢;same;;;;;;;;;;;;;;;;;;;;
icon/universalSpare;<color=@universalSpareColor>╢</color>;<color=@universalSpareColor>╢</color>;same;;;;;;;;;;;;;;;;;;;;
icon/chest;╪;╪;same;;;;;;;;;;;;;;;;;;;;
icon/chest2;⋦;⋦;same;;;;;;;;;;;;;;;;;;;;
icon/info;┌;┌;same;;;;;;;;;;;;;;;;;;;;
icon/dice/transparent;⋰;⋰;same;;;;;;;;;;;;;;;;;;;;
icon/dice/dark;⋱;⋱;same;;;;;;;;;;;;;;;;;;;;
icon/xmas_tree;⋮;⋮;same;;;;;;;;;;;;;;;;;;;;
icon/cross_play;;⋭;nice;;;;;;;;;;;;;;;;;;;;
icon/worldWar;╫;╫;same;;;;;;;;;;;;;;;;;;;;
icon/worldWar/colored;<color=@worldWarIconColor>╫</color>;<color=@worldWarIconColor>╫</color>;same;;;;;;;;;;;;;;;;;;;;
icon/star;┐;┐;same;;;;;;;;;;;;;;;;;;;;
icon/star/white;<color=@white>┐</color>;<color=@white>┐</color>;same;;;;;;;;;;;;;;;;;;;;
icon/gear;⋥;⋥;same;;;;;;;;;;;;;;;;;;;;
icon/gear_broken;⋟;⋟;same;;;;;;;;;;;;;;;;;;;;
icon/arrowUp;→;→;same;;;;;;;;;;;;;;;;;;;;
icon/arrowDown;←;←;same;;;;;;;;;;;;;;;;;;;;
icon/arrowRight;↓;↓;same;;;;;;;;;;;;;;;;;;;;
icon/psn;♿;⋊;nice;;;;;;;;;;;;;;;;;;;;
icon/xbox;♿;⋉;nice;;;;;;;;;;;;;;;;;;;;
icon/steam;⋈;⋈;same;;;;;;;;;;;;;;;;;;;;
icon/pc;;⋆;nice;;;;;;;;;;;;;;;;;;;;
icon/tv;♿;⋇;nice;;;;;;;;;;;;;;;;;;;;
icon/nuclear_bomb;☢;☢;same;;;;;;;;;;;;;;;;;;;;
icon/cup;␙;␙;same;;;;;;;;;;;;;;;;;;;;
order/colored_icon;<color=@userlogColoredText>▪</color>;<color=@userlogColoredText>▪</color>;same;;;;;;;;;;;;;;;;;;;;
check_mark/green;<color=@goodTextColor>✔</color>;<color=@goodTextColor>✔</color>;same;;;;;;;;;;;;;;;;;;;;
yum/short;yum;yum;same;;;;;;;;;;;;;;;;;;;;
yum/price_scale;;;same;;;;;;;;;;;;;;;;;;;;
id_menu_title;title;title;same;;;;;;;;;;;;;;;;;;;;
id_full_title;title;title;same;;;;;;;;;;;;;;;;;;;;
url_login_host;store.gaijin.net;store.gaijin.net;same;;;;;;;;;;;;;;;;;;;;
url/replenish;auto_local auto_login https://store.gaijin.net/replenishment.php?utm_source=wt_game&utm_medium=special;auto_local auto_login https://store.gaijin.net/replenishment.php?utm_source=wt_game&utm_medium=special;same;;;;;;;;;;;;;;;;;;;;
url/recovery;https://login.gaijin.net/en/sso/forgot;https://login.gaijin.net/en/sso/forgot;same;;;;;;;;;;;;;;;;;;;;
url/signUp;https://login.gaijin.net/fromgame?distr={distr}&project=warthunder;https://login.gaijin.net/fromgame?distr={distr}&project=warthunder;same;;;;;;;;;;;;;;;;;;;;
url/signUpSteam;;http://warthunder.com/en/registration?r=steam;nice;;;;;;;;;;;;;;;;;;;;
url/signUpShieldTV;;http://warthunder.com/android;nice;;;;;;;;;;;;;;;;;;;;
url/changeName;auto_local auto_login https://store.gaijin.net/user.php;auto_local auto_login https://store.gaijin.net/user.php;same;;;;;;;;;;;;;;;;;;;;
url/faq;;auto_login sso_service=any http://warthunder.com/en/game/faq/;nice;;;;;;;;;;;;;;;;;;;;
url/support;auto_login sso_service=zendesk https://support.gaijin.net/hc/en-us;auto_login sso_service=zendesk https://support.gaijin.net/hc/en-us;same;;;;;;;;;;;;;;;;;;;;
url/recharge;auto_local auto_login https://store.gaijin.net/catalog.php?category=GoldenEagles;auto_local auto_login https://store.gaijin.net/catalog.php?category=GoldenEagles;same;;;;;;;;;;;;;;;;;;;;
url/knowledgebase;https://support.gaijin.net/hc/en-us/search?utf8=%E2%9C%93&query=;https://support.gaijin.net/hc/en-us/search?utf8=%E2%9C%93&query=;same;;;;;;;;;;;;;;;;;;;;
url/knowledgebase/Tencent;;http://zzlt.gamebbs.qq.com/forum.php?;nice;;;;;;;;;;;;;;;;;;;;
url/webstore;auto_local auto_login https://store.gaijin.net/catalog.php?category=WarThunderPacks&order=newest&utm_source=wt_game&utm_medium=special;auto_local auto_login https://store.gaijin.net/catalog.php?category=WarThunderPacks&order=newest&utm_source=wt_game&utm_medium=special;same;;;;;;;;;;;;;;;;;;;;
url/webstore/steam;auto_local auto_login https://store.gaijin.net/catalog.php?category=WarThunderPacks&app_id=236390&steam_id=%s;auto_local auto_login https://store.gaijin.net/catalog.php?category=WarThunderPacks&app_id=236390&steam_id=%s;same;;;;;;;;;;;;;;;;;;;;
url/webstore/steam/item;auto_local auto_login https://store.gaijin.net/steam.php?guid=%s&app_id=%d&steam_id=%s;auto_local auto_login https://store.gaijin.net/steam.php?guid=%s&app_id=%d&steam_id=%s;same;;;;;;;;;;;;;;;;;;;;
url/steamstore/all;;http://store.steampowered.com/search/?developer=Gaijin+Entertainment&term=War+Thunder;nice;;;;;;;;;;;;;;;;;;;;
url/steamstore/campaigns;;http://store.steampowered.com/app/244230/;nice;;;;;;;;;;;;;;;;;;;;
url/steamstore/dlc;;http://store.steampowered.com/dlc/236390/;nice;;;;;;;;;;;;;;;;;;;;
url/steamstore/item;;http://store.steampowered.com/app/%s/;nice;;;;;;;;;;;;;;;;;;;;
url/serv_pick_tss;auto_login https://tss.warthunder.com/ban.php?refresh_token=1&public_key=guf2E8SStMPiaAlnUI7Z&port={port}&circuit={circuit};auto_login https://tss.warthunder.com/ban.php?refresh_token=1&public_key=guf2E8SStMPiaAlnUI7Z&port={port}&circuit={circuit};same;;;;;;;;;;;;;;;;;;;;
url/tss_all_tournaments;;auto_login http://tss.warthunder.com/index.php?action=current_tournaments;nice;;;;;;;;;;;;;;;;;;;;
url/serv_replay;;auto_login sso_service=any http://warthunder.com/en/tournament/replay/{roomId};nice;;;;;;;;;;;;;;;;;;;;
url/server_wt_game_replay;;http://wt-game-replays.warthunder.com/{sessionId}/0000.wrpl;nice;;;;;;;;;;;;;;;;;;;;
url/live/user_missions;;auto_login http://live.warthunder.com/feed/missions/;nice;;;;;;;;;;;;;;;;;;;;
url/ps4_reg_cb;;auto_login http://warthunder.com/landing/success;nice;;;;;;;;;;;;;;;;;;;;
url/ps4_bind_url;https://login.gaijin.net/psn/index;https://login.gaijin.net/psn/index;same;;;;;;;;;;;;;;;;;;;;
url/ps4_bind_redirect;https://login.gaijin.net/psn/psnCallback;https://login.gaijin.net/psn/psnCallback;same;;;;;;;;;;;;;;;;;;;;
url/steam_bind_url;https://login.gaijin.net/steam?token={token}&lang={langAbbreviation};https://login.gaijin.net/steam?token={token}&lang={langAbbreviation};same;;;;;;;;;;;;;;;;;;;;
url/pc_bind_url;https://login.gaijin.net/{language}/guest?stoken={stoken};https://login.gaijin.net/{language}/guest?stoken={stoken};same;;;;;;;;;;;;;;;;;;;;
url/webpoll_url;{base_url}/survey/{survey_id}/?lang=en&disposable_token={disposable_token};{base_url}/survey/{survey_id}/?lang=en&disposable_token={disposable_token};same;;;;;;;;;;;;;;;;;;;;
url/support/easyanticheat;https://support.gaijin.net/hc/en-us/articles/360000024738;https://support.gaijin.net/hc/en-us/articles/360000024738;same;;;;;;;;;;;;;;;;;;;;
url/support/easyanticheat/kick_reasons;https://support.gaijin.net/hc/en-us/articles/360000024738#h_9022c48a-94a4-48d6-bdb4-c4c4197c4217;https://support.gaijin.net/hc/en-us/articles/360000024738#h_9022c48a-94a4-48d6-bdb4-c4c4197c4217;same;;;;;;;;;;;;;;;;;;;;
nda_filename;%lang/nda.txt;%lang/nda.txt;same;;;;;;;;;;;;;;;;;;;;
nda_version;-1;-1;same;;;;;;;;;;;;;;;;;;;;
nda_version_tanks;-1;-1;same;;;;;;;;;;;;;;;;;;;;
url/custom_purchase;;;same;;;;;;;;;;;;;;;;;;;;
url/custom_purchase/eagles;;;same;;;;;;;;;;;;;;;;;;;;
url/custom_purchase_shield_tv;;http://warthunder.com/android_shop;nice;;;;;;;;;;;;;;;;;;;;
url/custom_purchase_shield_tv/eagles;;http://warthunder.com/android_shop;nice;;;;;;;;;;;;;;;;;;;;
url/custom_purchase/unit;;;same;;;;;;;;;;;;;;;;;;;;
url/2step/signInTroubles;https://support.gaijin.net/hc/en-us/articles/203623622-How-to-set-up-the-Two-Step-Authorization-Google-Authenticator-;https://support.gaijin.net/hc/en-us/articles/203623622-How-to-set-up-the-Two-Step-Authorization-Google-Authenticator-;same;;;;;;;;;;;;;;;;;;;;
url/2step/restoreProfile;https://login.gaijin.net/en/profile/restore/auth/;https://login.gaijin.net/en/profile/restore/auth/;same;;;;;;;;;;;;;;;;;;;;
url/2step/codeApp;auto_local auto_login https://login.gaijin.net/code/login;auto_local auto_login https://login.gaijin.net/code/login;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/usa_pacific_41_43;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_pacific_campaigns;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_pacific_campaigns;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/jpn_pacific_41_43;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_pacific_campaigns;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_pacific_campaigns;same;;;;;;;;;;;;;;;;;;;;
price/common;%s;%s;same;;;;;;;;;;;;;;;;;;;;
price/eagles100;1.5;1.5;same;;;;;;;;;;;;;;;;;;;;
price/eagles150;1.00;1.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles250;1.50;1.50;same;;;;;;;;;;;;;;;;;;;;
price/eagles500;3.00;3.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles1000;6.60;6.60;same;;;;;;;;;;;;;;;;;;;;
price/eagles2000;10.00;10.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles2500;16.50;16.50;same;;;;;;;;;;;;;;;;;;;;
price/eagles4000;23.00;23.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles5000;25.00;25.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles10000;50.00;50.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles15000;72.00;72.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles20000;95.00;95.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles25000;114.00;114.00;same;;;;;;;;;;;;;;;;;;;;
price/eagles30000;140.00;140.00;same;;;;;;;;;;;;;;;;;;;;
price/pacific_41_43;19.99;19.99;same;;;;;;;;;;;;;;;;;;;;
price/usa_pacific_41_43_yuplay;11.99;11.99;same;;;;;;;;;;;;;;;;;;;;
price/jpn_pacific_41_43_yuplay;11.99;11.99;same;;;;;;;;;;;;;;;;;;;;
price/usa_pacific_41_43;11.99;11.99;same;;;;;;;;;;;;;;;;;;;;
price/jpn_pacific_41_43;11.99;11.99;same;;;;;;;;;;;;;;;;;;;;
price/wt_starter_tank_usa_2014;4.99;4.99;same;;;;;;;;;;;;;;;;;;;;
price/wt_advanced_tank_usa_2014;22.99;22.99;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles100;1.5;1.5;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles150;1.00;1.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles250;1.50;1.50;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles500;3.30;3.30;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles1000;6.60;6.60;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles2000;10.00;10.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles2500;16.50;16.50;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles4000;23.00;23.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles5000;33.00;33.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles10000;66.00;66.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles15000;99.00;99.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles20000;132.00;132.00;same;;;;;;;;;;;;;;;;;;;;
price/steam/eagles25000;165.00;165.00;same;;;;;;;;;;;;;;;;;;;;
default_cluster;US;EU;nice;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/ship_event_tiket_access;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_navy;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_navy;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/ship_event_access;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_navy;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_navy;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_japan_tanks_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=japanese_tanks;auto_local auto_login https://store.gaijin.net/catalog.php?search=japanese_tanks;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_italian_aircrafts_unlocks;auto_local auto_login https://store.gaijin.net/search.php?search=wt_italy;auto_local auto_login https://store.gaijin.net/search.php?search=wt_italy;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_france_aircrafts_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_france;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_france;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_france_tanks_unlocks;auto_local auto_login https://store.gaijin.net/search.php?search=wt_french_tanks;auto_local auto_login https://store.gaijin.net/search.php?search=wt_french_tanks;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/helicopter_access;auto_local auto_login https://store.gaijin.net/search.php?search=wt_helicopters;auto_local auto_login https://store.gaijin.net/search.php?search=wt_helicopters;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_britain_ships_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_british_fleet;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_british_fleet;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_italy_tanks_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_italian_tanks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_italian_tanks;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_japan_ships_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_japanese_fleet;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_japanese_fleet;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_china_tanks_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_chinese_tanks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_chinese_tanks;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_china_aircrafts_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_chinese_aircrafts;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_chinese_aircrafts;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_sweden_aircrafts_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_swedish_aircrafts;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_swedish_aircrafts;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_sweden_tanks_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_swedish_tanks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_swedish_tanks;same;;;;;;;;;;;;;;;;;;;;
customPurchaseLink/wt_access_italy_ships_unlocks;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_italian_fleet;auto_local auto_login https://store.gaijin.net/catalog.php?search=wt_italian_fleet;same;;;;;;;;;;;;;;;;;;;;
