Column1;Column2;Column3;Column4;Column5;Column6;Column7
mainmenu/btnInviteFriend;;+ Invite Friend;nice;;;
mainmenu/btnRandomBattlesMenu;Battle Settings;Battle Settings;same;;;
mainmenu/title;Main Menu;Main Menu;same;;;
mainmenu/addCustomNick;Add Nickname;Add Nickname;same;;;
mainmenu/campaignChapterSelectTitle;Select Chapter;Select Chapter;same;;;
mainmenu/titleSelectRealismLevel;Difficulty Level;Difficulty Level;same;;;
mainmenu/titleLeaderboards;Leaderboards;Leaderboards;same;;;
mainmenu/titleMultiPlayerModes;Game Modes;Game Modes;same;;;
mainmenu/titleSinglePlayer;Single Player;Single Player;same;;;
mainmenu/titleSelectMatch;Match;Match;same;;;
mainmenu/titleProfile;Profile;Profile;same;;;
mainmenu/titleEventDescription;Event Info;Event Info;same;;;
mainmenu/openGameModeLink;Open;Open;same;;;
mainmenu/no_leaderboards;There are not enough sessions for displaying the Leaderboards;There are not enough sessions for displaying the Leaderboards;same;;;
mainmenu/customMatch;Find Session;Find Session;same;;;
mainmenu/selectCreateMode;Game Mode;Game Mode;same;;;
mainmenu/btnBack;Back;Back;same;;;
mainmenu/btnClose;Close;Close;same;;;
mainmenu/btnRefresh;Refresh;Refresh;same;;;
mainmenu/btnRefreshByUrl;Update by link;Update by link;same;;;
mainmenu/btnPrev;Previous Step;Previous Step;same;;;
mainmenu/btnSelect;Select;Select;same;;;
mainmenu/btnCreatePreset;Add preset;Add preset;same;;;
mainmenu/questionQuitGame;J-out time?;Would you like to quit?;nice;;;
mainmenu/btnAircraftInfo;Useless;Information;nice;;;
mainmenu/btnPages;Pages;Pages;same;;;
mainmenu/btnMyPlace;My Place;My Place;same;;;
mainmenu/btnTopPlace;First Place;First Place;same;;;
mainmenu/btnLastWeek;Previous Top 10;Previous Top 10;same;;;
mainmenu/btnPageNext;Next;Next;same;;;
mainmenu/btnPagePrev;Previous;Previous;same;;;
mainmenu/btnMonthLb;Last Month;Last Month;same;;;
mainmenu/btnTotalLb;All Time;All Time;same;;;
mainmenu/btnSessionSettings;Session Settings;Session Settings;same;;;
mainmenu/btnPostFxSettings;PostFX Settings;PostFX Settings;same;;;
mainmenu/btnSpectator;Spectator;Spectator;same;;;
tooltip/spectator_mode;Entering the game in Spectator mode, you will not participate in battle, but you can watch.;Entering the game in Spectator mode, you will not participate in battle, but you can watch.;same;;;
mainmenu/btnReferee;Referee;Referee;same;;;
tooltip/referee_mode;Entering the game in Referee mode, you will not participate in battle, but you can watch the action on behalf of both teams.;Entering the game in Referee mode, you will not participate in battle, but you can watch the action on behalf of both teams.;same;;;
mainmenu/btnTeam;Change Team;Change Team;same;;;
mainmenu/btnCountry;Change Country;Change Country;same;;;
mainmenu/btnInvite;Invite Friends;Invite Friends;same;;;
mainmenu/btnReady;Ready;Ready;same;;;
mainmenu/btnApply;Apply;Apply;same;;;
mainmenu/btnOk;Ok;Ok;same;;;
mainmenu/btnSpectatorNext;Next;Next;same;;;
mainmenu/btnSpectatorPrev;Previous;Previous;same;;;
mainmenu/btnCreateSession;Create Session;Create Session;same;;;
mainmenu/btnCreatePrivateSession;Private Match;Private Match;same;;;
mainmenu/autostartCountdown;Automatic Start in;Automatic Start in;same;;;
mainmenu/seconds;s;s;same;;;
mainmenu/btnUserAction;Player Action;Player Action;same;;;
mainmenu/btnClanAction;Squadron Actions;Squadron Actions;same;;;
mainmenu/navigation;Navigation;Navigation;same;;;
mainmenu/navigationExpand;Expand navigation bar;Expand navigation bar;same;;;
mainmenu/btnMoveToNavPanel;To navigation bar;To navigation bar;same;;;
mainmenu/protection_improvement;Protection improvement;Protection improvement;same;;;
mainmenu/protectionMap;Protection map;Protection map;same;;;
mainmenu/considerCameraVerticalAngle;Consider camera vertical angle;Consider camera vertical angle;same;;;
flightmenu;Battle menu;Battle menu;same;;;
flightmenu/title;Pause;Pause;same;;;
flightmenu/btnResume;Resume;Resume;same;;;
flightmenu/btnOptions;Options;Options;same;;;
flightmenu/btnControls;Controls;Controls;same;;;
flightmenu/btnRestart;Restart;Restart;same;;;
flightmenu/btnRestartReplay;Restart Replay;Restart Replay;same;;;
flightmenu/btnQuitMission;Return to the Hangar;Return to the Hangar;same;;;
flightmenu/btnQuitReplay;Quit Replay;Quit Replay;same;;;
flightmenu/btnQuitGame;Quit Game;Quit Game;same;;;
flightmenu/btnCompleteMission;Next Mission;Next Mission;same;;;
flightmenu/btnBailout;Leave the Plane;Leave the Plane;same;;;
flightmenu/btnLeaveTheTank;Leave the Vehicle;Leave the Vehicle;same;;;
flightmenu/btnBailoutHelicopter;Leave the Helicopter;Leave the Helicopter;same;;;
flightmenu/btnControlsHelp;Me retardo;Help;trim;;;
flightmenu/questionQuitGame;Are you sure you want to quit?;Are you sure you want to quit?;same;;;
flightmenu/questionQuitMission;Are you sure you want to go back to the hangar?;Are you sure you want to go back to the hangar?;same;;;
flightmenu/questionQuitMissionInProgress;"Are you sure you want to go back to the hangar?
Lions and research points will be automatically tallied after the battle is finished.";"Are you sure you want to go back to the hangar?
Lions and research points will be automatically tallied after the battle is finished.";same;;;
flightmenu/haveAvailableCrews;You still have crews ready to fight.;You still have crews ready to battle.;nice;;;
respawn/withCheaperWeapon;With cheaper weapons;With cheaper weapons;same;;;
flightmenu/questionQuitMissionHost;"Are you sure you want to go back to the hangar?
All other players will fail the mission as well.";"Are you sure you want to go back to the hangar?
All other players will fail the mission as well.";same;;;
flightmenu/questionRestartMission;Are you sure you want to restart this mission?;Are you sure you want to restart this mission?;same;;;
flightmenu/questionQuitCampaign;Are you sure you want to quit the campaign?;Are you sure you want to quit the campaign?;same;;;
flightmenu/questionBailout;You sure you want to j out of the aircraft?;Are you sure you want to bail out from the aircraft?;nice;;;
flightmenu/questionBailoutHelicopter;You sure you want to j out of the helicopter?;Are you sure you want to bail out from the helicopter?;nice;;;
flightmenu/questionLeaveTheTank;You sure you want to j out of the vehicle?;Are you sure you want to leave the vehicle?;nice;;;
flightmenu/btnDebugUnlock;Debug Unlock;Debug Unlock;same;;;
flightmenu/btnStats;Statistics;Statistics;same;;;
flightmenu/btnActivateOrder;Orders;Orders;same;;;
campaign/unlockPrevious;This mission is currently locked.;This mission is currently locked.;same;;;
campaign/unlockPreviousChapter;You need to complete the previous chapter to watch this movie.;You need to complete the previous chapter to watch this movie.;same;;;
campaign/unlockTutorial;;You need to complete the Tutorial.;nice;;;
mainmenu/btnWatchMovie;Watch Video;Watch Video;same;;;
difficulty0;Arcade Battles;Arcade Battles;same;;;
difficulty1;Realistic Battles;Realistic Battles;same;;;
difficulty2;Simulator Battles;Simulator Battles;same;;;
difficulty_name;Difficulty level:;Difficulty level:;same;;;
reward;Reward;Reward;same;;;
max_timed_reward;Max. reward for useful actions;Max. reward for useful actions;same;;;
reward/tutorialFirstComplet;;Reward for first basic tutorial;nice;;;
reward/everyDay;Reward once a day: ;Reward once a day: ;same;;;
rewardReceived;Reward received;Reward received;same;;;
baseReward;Base reward;Base reward;same;;;
baseReward/tooltip;The final reward for the mission also depends on the chosen difficulty and the number of players in the session.;The final reward for the mission also depends on the chosen difficulty and the number of players in the session.;same;;;
player_score_name;Player score:;Player score:;same;;;
mission_hint/spawns_per_battle;available and maximum number of respawns on this vehicle ({unit_name}). Some vehicles (usually reserve ones) have several respawns even without the use of a backup.;available and maximum number of respawns on this vehicle ({unit_name}). Some vehicles (usually reserve ones) have several respawns even without the use of a backup.;same;;;
mission_hint/cost_sp;the cost of using the vehicle in Spawn points. Spawn points are awarded for any successful actions in battle, in proportion to the mission points. Current amount: {current_cost_sp}.;the cost of using the vehicle in Spawn points. Spawn points are awarded for any successful actions in battle, in proportion to the mission points. Current amount: {current_cost_sp}.;same;;;
mission_hint/cost_sl;the cost of using the vehicle in Silver Lions.;the cost of using the vehicle in Silver Lions.;same;;;
mission_hint/spare;the number of backups on this vehicle. The backup allows you to use a vehicle twice in one battle.;the number of backups on this vehicle. The backup allows you to use a vehicle twice in one battle.;same;;;
mission_hint/spare/universal_spawn;there is a universal backup for this vehicle. You can use this vehicle for a second time by spending one universal backup.;there is a universal backup for this vehicle. You can use this vehicle for a second time by spending one universal backup.;same;;;
mission_hint/spare/spawn;the number of backups on this vehicle. You can use this vehicle for a second time by spending one backup.;the number of backups on this vehicle. You can use this vehicle for a second time by spending one backup.;same;;;
mission_hint/spawns_per_unit;available and maximum number of respawns on this type of vehicle ({army}).;available and maximum number of respawns on this type of vehicle ({army}).;same;;;
msgbox/btn_yes;Yes;Yes;same;;;
msgbox/btn_no;No;No;same;;;
msgbox/btn_ok;Ok;OK;nice;;;
msgbox/btn_cancel;Fuck Off;Cancel;trim;;;
msgbox/btn_back;Back;Back;same;;;
msgbox/btn_replace;Replace;Replace;same;;;
msgbox/btn_add;Add;Add;same;;;
msgbox/btn_copy;Copy;Copy;same;;;
msgbox/btn_delete;Delete;Delete;same;;;
msgbox/btn_remove;Remove;Remove;same;;;
msgbox/btn_move_up;Move Up;Move Up;same;;;
msgbox/btn_move_down;Move Down;Move Down;same;;;
msgbox/btn_rename;Rename;Rename;same;;;
msgbox/btn_edit;Edit;Edit;same;;;
msgbox/btn_more;More...;More...;same;;;
msgbox/btn_haveReadAndAgree;I have read and agree;I have read and agree;same;;;
msgbox/btn_reassign;Reassign;Reassign;same;;;
msgbox/btn_skip;Skip;Skip;same;;;
msgbox/btn_leaveSquad;Leave Squad;Leave Squad;same;;;
msgbox/btn_disbandSquad;Disband Squad;Disband Squad;same;;;
msgbox/btn_createNewSquad;Create New Squad;Create New Squad;same;;;
msgbox/btn_sendAnyway;Send anyway;Send anyway;same;;;
msgbox/btn_aviation;Air;Air;same;;;
msgbox/btn_army;Ground;Ground;same;;;
msgbox/btn_purchase;Purchase;Purchase;same;;;
msgbox/btn_apply;Apply;Apply;same;;;
msgbox/wait_for_squad_leader;Waiting for the squad leader;Waiting for the squad leader;same;;;
msgbox/btn_verify;Verify;Verify;same;;;
msgbox/btn_activate;Activate;Activate;same;;;
msgbox/btn_later;Later;Later;same;;;
msgbox/btn_revoke_invites;Revoke invites;Revoke invites;same;;;
msgbox/btn_open_settings;Go to settings;Go to settings;same;;;
msgbox/btn_relogin;Relogin;Relogin;same;;;
msgbox/btn_bind;Bind;Bind;same;;;
msgbox/presetActions;Preset actions;Preset actions;same;;;
msgbox/emptyPresetAlreadyExist;An empty weapon preset already exists. To create another empty weapon preset, you need to make changes to the existing one.;An empty weapon preset already exists. To create another empty weapon preset, you need to make changes to the existing one.;same;;;
msgbox/showcase_unavailable;Showcase is unavailable. Requirements to unlock:;Showcase is unavailable. Requirements to unlock:;same;;;
options/creatingSession;Creating session...;Creating session...;same;;;
options/joinSession;Joining session...;Joining session...;same;;;
options/searchingSession;Searching session...;Searching session...;same;;;
options/session;Session;Session;same;;;
profile/options;Options;Options;same;;;
profile/hangar;Research;Research;same;;;
profile/unlocks;Unlocks;Unlocks;same;;;
profile/awards;Awards;Awards;same;;;
mainmenu/btnEncyclopedia;Shitpedia;Encyclopedia;nice;;;
profile/pilots;Pilots;Pilots;same;;;
profile/language;Language;Language;same;;;
profile/steamName;Steam: ;Steam: ;same;;;
profile/facebookName;;Facebook: ;nice;;;
profile/psnName;OnlineID: ;OnlineID: ;same;;;
mainmenu/btnGameplay;Options;Options;same;;;
mainmenu/btnWeapons;Modifications;Modifications;same;;;
mainmenu/btnWeaponsDesc;Modify the vehicle in accordance with your purposes;Modify the vehicle in accordance with your purposes;same;;;
mainmenu/btnClans;Squadrons;Squadrons;same;;;
unlocks/newRank;New rank;New rank;same;;;
unlocks/aircraft;New vehicle available;New vehicle available;same;;;
unlocks/difficulty;Difficulty;Difficulty;same;;;
unlocks/weapon;New weapon;New weapon;same;;;
unlocks/weapon_for_air;New weapon for %s;New weapon for %s;same;;;
unlocks/modification_for_air;New modification for %s;New modification for %s;same;;;
unlocks/bullets_for_air;New shell rack for %s;New shell rack for %s;same;;;
unlocks/mission;New mission unlocked;New mission unlocked;same;;;
unlocks/medal;Medal earned;Medal earned;same;;;
unlocks/challenge;Challenge;Challenge;same;;;
unlocks/achievement;New achievement;New achievement;same;;;
unlocks/title;New title;New title;same;;;
unlocks/loading_bg;New loading screen;New loading screen;same;;;
unlocks/next;Next;Next;same;;;
unlocks/continue;Continue;Continue;same;;;
unlocks/difficulty_old;Realism Level;Realism Level;same;;;
unlocks/encyclopedia;New encyclopedia article unlocked;New encyclopedia article unlocked;same;;;
unlocks/pilot;Profile icon;Profile icon;same;;;
unlocks/streak;Award;Award;same;;;
unlocks/award;Award;Award;same;;;
unlocks/entitlement;You've got;You've got;same;;;
unlocks/country;New country unlocked;New country unlocked;same;;;
unlocks/year;A new year for dynamic campaigns available;A new year for dynamic campaigns available;same;;;
unlocks/slot;New crew available;New crew available;same;;;
unlocks/skillpoints;Skill points were earned;Skill points were earned;same;;;
unlocks/skillpoints/desc; earned skill points - ; earned skill points - ;same;;;
unlocks/battletask;Battle Task Completed;Battle Task Completed;same;;;
unlocks/trophy_steam;New achievement;New achievement;same;;;
unlocks/trophy;Award;Award;same;;;
unlocks/inventory;New item;New item;same;;;
unlocks/warbond;Award;Award;same;;;
complex_engine_on;Manual engine control;Manual engine control;same;;;
complex_engine_off;Auto engine control;Auto engine control;same;;;
mainmenu/btnReplays;Replays;Replays;same;;;
mainmenu/btnViewReplay;View Replay;View Replay;same;;;
mainmenu/btnViewReplayTooltip;Session ID: {sessionID};Session ID: {sessionID};same;;;
mainmenu/btnViewServerReplay;View Server Replay;View Server Replay;same;;;
mainmenu/btnViewHighlights;View highlights;View highlights;same;;;
mainmenu/replayName;Replay name;Replay name;same;;;
mainmenu/btnOpenReplaysFolder;Open Folder;Open Folder;same;;;
mainmenu/areYouSureDelReplay;Are you sure you want to delete this replay?;Are you sure you want to delete this replay?;same;;;
mainmenu/areYouSureOpenReplayFolder;Are you sure you want to open replay folder?;Are you sure you want to open replay folder?;same;;;
mainmenu/noReplays;No replays found;No replays found;same;;;
mainmenu/btnSaveReplay;Save Replay;Save Replay;same;;;
mainmenu/questionSaveReplay;Would you like to save the replay?;Would you like to save the replay?;same;;;
msgbox/btn_viewAgain;Watch Again;Watch Again;same;;;
mainmenu/btnRecords;Statistics;Statistics;same;;;
mainmenu/btnStatistics;Service Record;Service Record;same;;;
mainmenu/btnResetButton;Remove Binding;Remove Binding;same;;;
mainmenu/btnResetAxis;Reset Axis and Options;Reset Axis and Options;same;;;
mainmenu/btnReset;Reset;Reset;same;;;
mainmenu/btnAxisUnassign;Unassign Axis;Unassign Axis;same;;;
mainmenu/btnRestoreAxis;Restore Axis;Restore Axis;same;;;
mainmenu/btnEditAxis;Edit Axis;Edit Axis;same;;;
mainmenu/btnAutodetectAxis;Autodetect Axis;Autodetect Axis;same;;;
mainmenu/btnStopAutodetect;Stop Axis Autodetection;Stop Axis Autodetection;same;;;
mainmenu/btnPerformAction;Perform Action;Perform Action;same;;;
profile/stats;Service record;Service record;same;;;
mainmenu/onlineForLB;You need to be online to play missions with your friends, access leaderboards and other network features. Want to log in now?;You need to be online to play missions with your friends, access leaderboards and other network features. Want to log in now?;same;;;
mainmenu/btnVersus;Random Battles;Random Battles;same;;;
mainmenu/btnCoop;Single Missions;Single Missions;same;;;
mainmenu/titleVersus;Random Battles;Random Battles;same;;;
mainmenu/titleCoop;Dynamic Campaign;Dynamic Campaign;same;;;
chapters/singleMission;Missions;Missions;same;;;
chapters/dynamic;Dynamic Campaign;Dynamic Campaign;same;;;
chapters/event;Current Events;Current Events;same;;;
mainmenu/btnDecals;Hangar;Hangar;same;;;
mainmenu/btnMultiplayer;PvP;PvP;same;;;
difficulty3;Custom;Custom;same;;;
mainmenu/btnNext;Next;Next;same;;;
secondary_device_select_fmt;Secondary controller: %s;Secondary controller: %s;same;;;
local_coop_no_device;Please select controller for gunner;Please select controller for gunner;same;;;
options/mislist;Change mission;Change mission;same;;;
unlocks/decal;New decal;New decal;same;;;
unlocks/skin;New camouflage;New camouflage;same;;;
unlocks/attachable;New decorator;New decorator;same;;;
mission_status;Mission Status;Mission Status;same;;;
mission_status_0;Accomplished on Arcade difficulty;Accomplished on Arcade difficulty;same;;;
mission_status_1;Accomplished on Realistic difficulty;Accomplished on Realistic difficulty;same;;;
mission_status_2;Accomplished on Simulator difficulty;Accomplished on Simulator difficulty;same;;;
new_rank;You've got a new rank;You've got a new rank;same;;;
new_rank_country;;You've been promoted to a new rank in your country's air forces!;nice;;;
players_recommended;Recommended for %s players;Recommended for %s players;same;;;
msgbox/only_default_help;Help is available for default controller only.;Help is available for default controller only.;same;;;
options/mp_mission;Mission;Mission;same;;;
options/mp_user_mission;User mission;User mission;same;;;
msgbox/btn_signIn;Cum In;Sign In;nice;;;
msgbox/btn_confirm;Confirm;Confirm;same;;;
msgbox/btn_continue;Continue;Continue;same;;;
msgbox/btn_download;Download;Download;same;;;
msgbox/btn_browse;Browse;Browse;same;;;
msgbox/btn_use;Use;Use;same;;;
msgbox/start_tutorial;;You haven't completed any mission on this difficulty setting yet. Would you like to play tutorial first?;nice;;;
msgbox/not_in_leaderboard;You haven't been listed in the Leaderboard yet.;You haven't been listed in the Leaderboard yet.;same;;;
profile/difficulty;Difficulty Settings;Difficulty Settings;same;;;
customdiff/value;Evaluated Difficulty: ;Evaluated Difficulty: ;same;;;
mainmenu/btnUnlockAchievement;Achievements;Achievements;same;;;
mainmenu/btnFavoritesUnlockAchievement;Favorite Achievements;Favourite Achievements;nice;;;
mainmenu/btnUnlockAchievementsAll;All Achievements;All Achievements;same;;;
mainmenu/UnlockAchievementsToFavorite;To Favorites;To Favourites;nice;;;
mainmenu/UnlockAchievementsToFavorite/hint;Add the achievement to Favorites;Add the achievement to Favourites;nice;;;
mainmenu/UnlockAchievementsRemoveFromFavorite/hint;Remove the achievement from Favorites;Remove the achievement from Favourites;nice;;;
mainmenu/noFavoriteAchievements;You have no favorite achievements. You can add achievements to Favorites on the Achievements page.;You have no favourite achievements. You can add achievements to Favourites on the Achievements page.;nice;;;
mainmenu/btnUnlock;Unlocks;Unlocks;same;;;
mainmenu/btnUnlockDecal;Decals;Decals;same;;;
mainmenu/btnUnlockSkin;Skins;Camouflages;nice;;;
mainmenu/btnUnlockChallenge;Challenges;Challenges;same;;;
mainmenu/pleaseSignIn;Offline Mode;Offline Mode;same;;;
mainmenu/balance;Balance;Balance;same;;;
mainmenu/gold;Golden Eagles - premium currency;Golden Eagles - premium currency;same;;;
mainmenu/warpoints;Silver Lions - main currency;Silver Lions - main currency;same;;;
mainmenu/rank;Level;Level;same;;;
mainmenu/BR; (BR {br}); (BR {br});same;;;
mainmenu/brText;BR;BR;same;;;
mainmenu/playerRank;Player level;Player level;same;;;
mainmenu/countryRank;Rank in country air forces;Rank in country air forces;same;;;
mainmenu/rank/country_usa;USA Air Forces Rank;USA Air Forces Rank;same;;;
mainmenu/rank/country_ussr;Soviet Air Forces Rank;Soviet Air Forces Rank;same;;;
mainmenu/rank/country_germany;German Air Forces Rank;German Air Forces Rank;same;;;
mainmenu/rank/country_britain;British Air Forces Rank;British Air Forces Rank;same;;;
mainmenu/rank/country_japan;Japanese Air Forces Rank;Japanese Air Forces Rank;same;;;
mainmenu/rank/country_china;Chinese Air Forces Rank;Chinese Air Forces Rank;same;;;
mainmenu/rank/country_pkg6;Ponyland Air Forces Rank;Ponyland Air Forces Rank;same;;;
mainmenu/countriesRanks;Rank in countries' air forces;Rank in countries' air forces;same;;;
mainmenu/rewards;Medals;Medals;same;;;
mainmenu/countryRank/tooltip;Rank in the given country's air forces;Rank in the given country's air forces;same;;;
mainmenu/boostersTooltip;Active boosters {currencyMark};Active boosters {currencyMark};same;;;
mainmenu/booster/personal;Personal booster;Personal booster;same;;;
mainmenu/booster/public;Public booster;Public booster;same;;;
mainmenu/boosterType/common;Common;Common;same;;;
msgbox/existingBoosters;"You already have active boosters. When more than one booster is active, their total effect is less than sum of all boosters.
{newBooster} will increase common effect by {newBoosterEffect}.
Are you sure you want to activate the booster?";"You already have active boosters. When more than one booster is active, their total effect is less than sum of all boosters.
{newBooster} will increase common effect by {newBoosterEffect}.
Are you sure you want to activate the booster?";same;;;
msgbox/isInFlightBooster;"Booster will have an effect starting with the next battle.
Are you sure you want to activate the booster?";"Booster will have an effect starting with the next battle.
Are you sure you want to activate the booster?";same;;;
msgbox/conflictingBoosters/boosterEndsIn;Ends in %s;Ends in %s;same;;;
msgbox/conflictingWager;Stake on %s will cancel current active stake;Stake on %s will cancel current active stake;same;;;
msgbox/notEnoughMoneyWager/wp;Not enough Silver Lions to start the wager.;Not enough Silver Lions to start the wager.;same;;;
msgbox/notEnoughMoneyWager/gold;Not enough Golden Eagles to start the wager.;Not enough Golden Eagles to start the wager.;same;;;
currency/researchPoints/name;Research points;Research points;same;;;
currency/researchPoints/desc;Research points (RP);Research points (RP);same;;;
currency/freeResearchPoints/name;Convertible research points;Convertible research points;same;;;
currency/freeResearchPoints/desc;Convertible research points (convertible RP);Convertible research points (convertible RP);same;;;
currency/skillPoints/name;Skill points;Skill points;same;;;
currency/skillPoints/desc;Crew skill points;Crew skill points;same;;;
currency/eagles/plural;{num=Golden Eagle/Golden Eagles};{num=Golden Eagle/Golden Eagles};same;;;
currency/lions/plural;{num=Silver Lion/Silver Lions};{num=Silver Lion/Silver Lions};same;;;
stats/time_played;Time played;Time played;same;;;
stats/missions_wins;Victories;Victories;same;;;
stats/missions_completed;Finished missions;Finished missions;same;;;
stats/missions_failed;Missions failed;Missions failed;same;;;
stats/kills_air;Air targets destroyed;Air targets destroyed;same;;;
stats/kills_ground;Ground targets destroyed;Ground targets destroyed;same;;;
stats/kills_naval;Naval targets destroyed;Naval targets destroyed;same;;;
stats/fm/fighter;Fighter;Fighter;same;;;
stats/fm/bomber;Bomber;Bomber;same;;;
stats/fm/assault;Strike aircraft;Strike aircraft;same;;;
stats/flights;Number of Respawns;Number of Respawns;same;;;
sm_rank;Rank;Rank;same;;;
sm_era;Rank;Rank;same;;;
sm_date;Date;Date;same;;;
sm_each;Each;Each;same;;;
exp_received;+ %s ▉;+ %s ▉;same;;;
exp_received/by_param;+ {value} ▉;+ {value} ▉;same;;;
delay_received;Timers %s%d sec;Timers %s%d sec;same;;;
sm_can_be_played;Can be played %d times;Can be played %d times;same;;;
sm_playable;Playable;Playable;same;;;
sm_play_times;%d times;%d times;same;;;
sm_conditions;Conditions;Conditions;same;;;
sm_objective;Objective;Objective;same;;;
shop/section/researchable;Researchable vehicles;Researchable vehicles;same;;;
shop/section/premium;Premium vehicles;Premium vehicles;same;;;
shop/premiumVehicle/short;Premium;Premium;same;;;
shop/age;Rank;Rank;same;;;
shop/age/num;Rank {num};Rank {num};same;;;
shop/age/tooltip;Vehicle Rank;Vehicle Rank;same;;;
shop/battle_rating;Battle rating;Battle rating;same;;;
shop/battle_rating/tooltip;Relative vehicle battle rating;Relative vehicle battle rating;same;;;
shop/unitCountry/operator;Operator country;Operator;trim;;;
shop/unitCountry/research;Research country;Research country;same;;;
shop/chance_to_met;Chance of meeting;Chance of meeting;same;;;
chance_to_met/never;Never;Never;same;;;
chance_to_met/low;Low;Low;same;;;
chance_to_met/average;Average;Average;same;;;
chance_to_met/high;High;High;same;;;
shop/condition;Condition:;Condition:;same;;;
shop/condition/tooltip;Whether the vehicle is damaged and how long it would take to repair it for free.;Whether the vehicle is damaged and how long it would take to repair it for free.;same;;;
shop/damaged;Vehicle damaged;Vehicle damaged;same;;;
shop/repair_cost;Repair cost:;Repair cost:;same;;;
shop/repair_cost/tooltip;The cost of repairing the vehicle.;The cost of repairing the vehicle.;same;;;
shop/full_repair_cost;Max repair cost:;Max repair cost:;same;;;
shop/full_repair_cost/tooltip;The cost of quick and complete repair on the vehicle.;The cost of quick and complete repair on the vehicle.;same;;;
shop/repair_cost_per_min;Repair cost depending on lifetime:;Repair cost depending on lifetime:;same;;;
shop/avg_repair_cost;Max repair cost:;Max repair cost:;same;;;
shop/avg_repair_cost/tooltip;The cost of quick and complete repair on the vehicle.;The cost of quick and complete repair on the vehicle.;same;;;
shop/full_repair_time;Free repair time:;Free repair time:;same;;;
shop/full_repair_time/tooltip;Time until the vehicle would be repaired on its own for free.;Time until the vehicle would be repaired on its own for free.;same;;;
shop/full_repair_time_crew;Free repair time (with crew):;Free repair time (with crew):;same;;;
shop/full_repair_time_crew/tooltip;Time until the vehicle would be repaired on its own for free.;Time until the vehicle would be repaired on its own for free.;same;;;
shop/free_repairs;Free repairs:;Free repairs:;same;;;
shop/free_repairs/tooltip;Free repairs:;Free repairs:;same;;;
