Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
events/maxSquadSize;Squad size is bigger than {maxSize};Squad size is bigger than {maxSize};same;;;;;;;;;;;;;;;;;;;
events/chapter/basic_events;Events;Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/basic_events/ended;Ended Events;Ended Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/clan_events;Squadron Events;Squadron Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/clan_events/ended;Ended Squadron Events;Ended Squadron Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/tournaments;Tournaments;Tournaments;same;;;;;;;;;;;;;;;;;;;
events/chapter/tournaments/ended;Ended Tournaments;Ended Tournaments;same;;;;;;;;;;;;;;;;;;;
events/chapter/simulation_battles;Simulator Battles;Simulator Battles;same;;;;;;;;;;;;;;;;;;;
mode_unlock_text/title/multiple;To unlock this mode, you must fulfill the following conditions:;To unlock this mode, you must fulfill the following conditions:;same;;;;;;;;;;;;;;;;;;;
mode_unlock_text/title/single;To unlock this mode, you must fulfil the following condition:;To unlock this mode, you must fulfil the following condition:;same;;;;;;;;;;;;;;;;;;;
mode_unlock_text/item;Destroy at least {reqCount} {unitName} (destroyed: {currentCount}) in {eventName};Destroy at least {reqCount} {unitName} (destroyed: {currentCount}) in {eventName};same;;;;;;;;;;;;;;;;;;;
simulator_battles/desc;"Simulator Battles is a mode where missions, as in Realistic Battles, take place in the locations of historical battles, and players are divided into teams of the countries that participated in the conflict.
Battles in the ""Enduring Confrontation"" mode are held for aircraft only. Aircraft controls are as realistic as possible in this mode, cockpit view is only available, take off is effected from the airfield. Markers are only present above allied players at short distances.
Ground Battles are held in the Combined Battles mode, a player can use both ground and air vehicles according to his preference. The position of the external camera when commanding a ground vehicle is limited to the Commander's position. Markers are absent for both allies and enemies.";"Simulator Battles is a mode where missions, as in Realistic Battles, take place in the locations of historical battles, and players are divided into teams of the countries that participated in the conflict.
Battles in the ""Enduring Confrontation"" mode are held for aircraft only. Aircraft controls are as realistic as possible in this mode, cockpit view is only available, take off is effected from the airfield. Markers are only present above allied players at short distances.
Ground Battles are held in the Combined Battles mode, a player can use both ground and air vehicles according to his preference. The position of the external camera when commanding a ground vehicle is limited to the Commander's position. Markers are absent for both allies and enemies.";same;;;;;;;;;;;;;;;;;;;
events/chapter/test_events;Test Events;Test Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/playtest_events;Playtest;Playtest;same;;;;;;;;;;;;;;;;;;;
events/chapter/combined_battles;Combined Battles;Combined Battles;same;;;;;;;;;;;;;;;;;;;
events/chapter/special_events;Special Events;Special Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/historical_events;Historical Events;Historical Events;same;;;;;;;;;;;;;;;;;;;
events/chapter/chronicle;WW2 Chronicles;WW2 Chronicles;same;;;;;;;;;;;;;;;;;;;
events/chapter/air_tournaments;Air Tournaments;Air Tournaments;same;;;;;;;;;;;;;;;;;;;
events/chapter/tank_tournaments;Ground Tournaments;Ground Tournaments;same;;;;;;;;;;;;;;;;;;;
events/chapter/clan_tournaments;Squadron Tournaments;Squadron Tournaments;same;;;;;;;;;;;;;;;;;;;
events/chapter/race;Race;Race;same;;;;;;;;;;;;;;;;;;;
events/chapter/mad_thunder;Mad Thunder;Mad Thunder;same;;;;;;;;;;;;;;;;;;;
events/future_events;Future Events;Future Events;same;;;;;;;;;;;;;;;;;;;
events/players_count;Players;Players;same;;;;;;;;;;;;;;;;;;;
events/clans_count;Squadrons;Squadrons;same;;;;;;;;;;;;;;;;;;;
events/max_players_count;Max players;Max players;same;;;;;;;;;;;;;;;;;;;
events/players_range;Players required (min - max): ;Players required (min - max): ;same;;;;;;;;;;;;;;;;;;;
events/players_short;Players (min - max): ;Players (min - max): ;same;;;;;;;;;;;;;;;;;;;
events/players_range_single;Players required: ;Players required: ;same;;;;;;;;;;;;;;;;;;;
events/arcade_common_desc;An Arcade Battle based on a real historical event, it takes place in random arcade locations. The vehicles list is limited to the vehicles that indeed fought in that period.;An Arcade Battle based on a real historical event, it takes place in random arcade locations. The vehicles list is limited to the vehicles that indeed fought in that period.;same;;;;;;;;;;;;;;;;;;;
events/clan_only;This event is for Squadrons members only;This event is for Squadrons members only;same;;;;;;;;;;;;;;;;;;;
events/clan_event_help;In this kind of event, a team of your squadron fights against a team of another squadron.;In this kind of event, a team of your squadron fights against a team of another squadron.;same;;;;;;;;;;;;;;;;;;;
events/allowSwitchClan/false;Changing squadron during this tournament is not allowed.;Changing squadron during this tournament is not allowed.;same;;;;;;;;;;;;;;;;;;;
events/allowSwitchClan/true;Changing squadron during this tournament is allowed.;Changing squadron during this tournament is allowed.;same;;;;;;;;;;;;;;;;;;;
events/handicap;Maximum players: ;Maximum players: ;same;;;;;;;;;;;;;;;;;;;
events/ticket_cost;Participation cost: {cost};Participation cost: {cost};same;;;;;;;;;;;;;;;;;;;
events/battle_cost;Battle cost: {cost};Battle cost: {cost};same;;;;;;;;;;;;;;;;;;;
ticket/max_defeat_count;Up to {value} defeats;Up to {value} defeats;same;;;;;;;;;;;;;;;;;;;
ticket/max_defeat_count_in_a_row;Up to {value} consecutive defeats;Up to {value} consecutive defeats;same;;;;;;;;;;;;;;;;;;;
ticket/battle_limit;Up to {value} battles.;Up to {value} battles.;same;;;;;;;;;;;;;;;;;;;
ticket/battle_count;Battles played;Battles played;same;;;;;;;;;;;;;;;;;;;
ticket/defeat_count;Defeats;Defeats;same;;;;;;;;;;;;;;;;;;;
ticket/defeat_count_in_a_row;Consecutive defeats;Consecutive defeats;same;;;;;;;;;;;;;;;;;;;
msgbox/need_ticket/purchase;"To participate, you need to purchase:
{ticket}
{info}
Cost: {cost}";"To participate, you need to purchase:
{ticket}
{info}
Cost: {cost}";same;;;;;;;;;;;;;;;;;;;
msgbox/need_ticket/no_tickets;"Unfortunately, there are no available tickets
for the event {eventName}.";"Unfortunately, there are no available tickets
for the event {eventName}.";same;;;;;;;;;;;;;;;;;;;
events/all_vs_all;[Confrontation] All against all;[Confrontation] All against all;same;;;;;;;;;;;;;;;;;;;
events/all_vs_all_desc;An Arcade Battle based on real historical event, it takes place in random historical locations. Respawn has been disabled for this type of battle.;An Arcade Battle based on real historical event, it takes place in random historical locations. Respawn has been disabled for this type of battle.;same;;;;;;;;;;;;;;;;;;;
missions/clan_event;Squadron Battles;Squadron Battles;same;;;;;;;;;;;;;;;;;;;
missions/clan_event/desc;A special event where squadrons fight each other. In squadron events any units can fight in one battle, regardless of their rank.;A special event where squadrons fight each other. In squadron events any units can fight in one battle, regardless of their rank.;same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_9;Squadron Arcade Events (max BR 3.7);Squadron Arcade Events (max BR 3.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_9;Squadron Realistic Events (max BR 3.7);Squadron Realistic Events (max BR 3.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_10;Squadron Arcade Events (max BR 4.0);Squadron Arcade Events (max BR 4.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_10;Squadron Realistic Events (max BR 4.0);Squadron Realistic Events (max BR 4.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_11;Squadron Arcade Events (max BR 4.3);Squadron Arcade Events (max BR 4.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_11;Squadron Realistic Events (max BR 4.3);Squadron Realistic Events (max BR 4.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_12;Squadron Arcade Events (max BR 4.7);Squadron Arcade Events (max BR 4.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_12;Squadron Realistic Events (max BR 4.7);Squadron Realistic Events (max BR 4.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_13;Squadron Arcade Events (max BR 5.0);Squadron Arcade Events (max BR 5.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_13;Squadron Realistic Events (max BR 5.0);Squadron Realistic Events (max BR 5.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_14;Squadron Arcade Events (max BR 5.3);Squadron Arcade Events (max BR 5.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_14;Squadron Realistic Events (max BR 5.3);Squadron Realistic Events (max BR 5.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_15;Squadron Arcade Events (max BR 5.7);Squadron Arcade Events (max BR 5.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_15;Squadron Realistic Events (max BR 5.7);Squadron Realistic Events (max BR 5.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_16;Squadron Arcade Events (max BR 6.0);Squadron Arcade Events (max BR 6.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_16;Squadron Realistic Events (max BR 6.0);Squadron Realistic Events (max BR 6.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_17;Squadron Arcade Events (max BR 6.3);Squadron Arcade Events (max BR 6.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_17;Squadron Realistic Events (max BR 6.3);Squadron Realistic Events (max BR 6.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_18;Squadron Arcade Events (max BR 6.7);Squadron Arcade Events (max BR 6.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_18;Squadron Realistic Events (max BR 6.7);Squadron Realistic Events (max BR 6.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_19;Squadron Arcade Events (max BR 7.0);Squadron Arcade Events (max BR 7.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_19;Squadron Realistic Events (max BR 7.0);Squadron Realistic Events (max BR 7.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_20;Squadron Arcade Events (max BR 7.3);Squadron Arcade Events (max BR 7.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_20;Squadron Realistic Events (max BR 7.3);Squadron Realistic Events (max BR 7.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_21;Squadron Arcade Events (max BR 7.7);Squadron Arcade Events (max BR 7.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_21;Squadron Realistic Events (max BR 7.7);Squadron Realistic Events (max BR 7.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_22;Squadron Arcade Events (max BR 8.0);Squadron Arcade Events (max BR 8.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_22;Squadron Realistic Events (max BR 8.0);Squadron Realistic Events (max BR 8.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_23;Squadron Arcade Events (max BR 8.3);Squadron Arcade Events (max BR 8.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_23;Squadron Realistic Events (max BR 8.3);Squadron Realistic Events (max BR 8.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_24;Squadron Arcade Events (max BR 8.7);Squadron Arcade Events (max BR 8.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_24;Squadron Realistic Events (max BR 8.7);Squadron Realistic Events (max BR 8.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_25;Squadron Arcade Events (max BR 9.0);Squadron Arcade Events (max BR 9.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_25;Squadron Realistic Events (max BR 9.0);Squadron Realistic Events (max BR 9.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_26;Squadron Arcade Events (max BR 9.3);Squadron Arcade Events (max BR 9.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_26;Squadron Realistic Events (max BR 9.3);Squadron Realistic Events (max BR 9.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_27;Squadron Arcade Events (max BR 9.7);Squadron Arcade Events (max BR 9.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_27;Squadron Realistic Events (max BR 9.7);Squadron Realistic Events (max BR 9.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_28;Squadron Arcade Events (max BR 10.0);Squadron Arcade Events (max BR 10.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_28;Squadron Realistic Events (max BR 10.0);Squadron Realistic Events (max BR 10.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_29;Squadron Arcade Events (max BR 10.7);Squadron Arcade Events (max BR 10.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_29;Squadron Realistic Events (max BR 10.7);Squadron Realistic Events (max BR 10.7);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_30;Squadron Arcade Events (max BR 11.0);Squadron Arcade Events (max BR 11.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_30;Squadron Realistic Events (max BR 11.0);Squadron Realistic Events (max BR 11.0);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade_31;Squadron Arcade Events (max BR 11.3);Squadron Arcade Events (max BR 11.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic_31;Squadron Realistic Events (max BR 11.3);Squadron Realistic Events (max BR 11.3);same;;;;;;;;;;;;;;;;;;;
events/clan_event_arcade;Squadron Arcade Events;Squadron Arcade Events;same;;;;;;;;;;;;;;;;;;;
events/clan_event_realistic;Squadron Realistic Events;Squadron Realistic Events;same;;;;;;;;;;;;;;;;;;;
mainmenu/maxBR;max BR {br};max BR {br};same;;;;;;;;;;;;;;;;;;;
missions/tank_event;Ground Battles;Ground Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event/desc;;;same;;;;;;;;;;;;;;;;;;;
missions/air_event;Air Battles;Air Battles;same;;;;;;;;;;;;;;;;;;;
missions/air_event/desc;;;same;;;;;;;;;;;;;;;;;;;
missions/ship_event;Naval Battles;Naval Battles;same;;;;;;;;;;;;;;;;;;;
missions/ship_event/desc;;;same;;;;;;;;;;;;;;;;;;;
missions/helicopter_event;Helicopter Battles;Helicopter Battles;same;;;;;;;;;;;;;;;;;;;
missions/helicopter_event/desc;;;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_arcade;Ground Arcade Battles;Ground Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_arcade/desc;Tank Arcade Battles is a mode that includes ground vehicles and the possible use of aviation through a system of game events. Markers are used in this mode above both allies and enemies. Vehicle mobility characteristics are better than in Realistic mode. Vehicles of any nation may be present in a team. The maximum number of respawns in a battle is 3.;Tank Arcade Battles is a mode that includes ground vehicles and the possible use of aviation through a system of game events. Markers are used in this mode above both allies and enemies. Vehicle mobility characteristics are better than in Realistic mode. Vehicles of any nation may be present in a team. The maximum number of respawns in a battle is 3.;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_in_random_battles_arcade;Ground Arcade Battles;Ground Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_in_random_battles_arcade/desc;Tank Arcade Battles is a mode that includes ground vehicles and the possible use of aviation through a system of game events. Markers are used in this mode above both allies and enemies. Vehicle mobility characteristics are better than in Realistic mode. Vehicles of any nation may be present in a team. The maximum number of respawns in a battle is 3.;Tank Arcade Battles is a mode that includes ground vehicles and the possible use of aviation through a system of game events. Markers are used in this mode above both allies and enemies. Vehicle mobility characteristics are better than in Realistic mode. Vehicles of any nation may be present in a team. The maximum number of respawns in a battle is 3.;same;;;;;;;;;;;;;;;;;;;
missions/air_event_arcade;Air Arcade Battles;Air Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_arcade_short;Ground AB;Ground AB;same;;;;;;;;;;;;;;;;;;;
missions/short/tank_event_in_random_battles_arcade;Ground AB;Ground AB;same;;;;;;;;;;;;;;;;;;;
missions/air_event_arcade_short;Air AB;Air AB;same;;;;;;;;;;;;;;;;;;;
missions/short/air_arcade;Air AB;Air AB;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_arcade_short;Naval AB;Naval AB;same;;;;;;;;;;;;;;;;;;;
missions/short/ship_event_in_random_battles_arcade;Naval AB;Naval AB;same;;;;;;;;;;;;;;;;;;;
missions/mixed_event_arcade;Mixed Arcade Battles;Mixed Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_historical;Ground Realistic Battles;Ground Realistic Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_historical/desc;Ground Vehicle Realistic Battles is a mode that includes both ground vehicles and aviation. Special spawn points are used in this mode, which are accrued for successful actions in a battle and are spent on subsequent respawns on ground vehicles or aircraft. The number of points received at the beginning of the battle allows you to run ground vehicles. Markers are only used to indicate allies. Vehicle characteristics are as close as possible to the real ones. Vehicles of one or more nations may be present in a team, only the battles with two participating nations are possible.;Ground Vehicle Realistic Battles is a mode that includes both ground vehicles and aviation. Special spawn points are used in this mode, which are accrued for successful actions in a battle and are spent on subsequent respawns on ground vehicles or aircraft. The number of points received at the beginning of the battle allows you to run ground vehicles. Markers are only used to indicate allies. Vehicle characteristics are as close as possible to the real ones. Vehicles of one or more nations may be present in a team, only the battles with two participating nations are possible.;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_in_random_battles_historical;Ground Realistic Battles;Ground Realistic Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_in_random_battles_historical/desc;Ground Vehicle Realistic Battles is a mode that includes both ground vehicles and aviation. Special spawn points are used in this mode, which are accrued for successful actions in a battle and are spent on subsequent respawns on ground vehicles or aircraft. The number of points received at the beginning of the battle allows you to run ground vehicles. Markers are only used to indicate allies. Vehicle characteristics are as close as possible to the real ones. Vehicles of one or more nations may be present in a team, only the battles with two participating nations are possible.;Ground Vehicle Realistic Battles is a mode that includes both ground vehicles and aviation. Special spawn points are used in this mode, which are accrued for successful actions in a battle and are spent on subsequent respawns on ground vehicles or aircraft. The number of points received at the beginning of the battle allows you to run ground vehicles. Markers are only used to indicate allies. Vehicle characteristics are as close as possible to the real ones. Vehicles of one or more nations may be present in a team, only the battles with two participating nations are possible.;same;;;;;;;;;;;;;;;;;;;
missions/air_event_historical;Air Realistic Battles;Air Realistic Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_historical_short;Ground RB;Ground RB;same;;;;;;;;;;;;;;;;;;;
missions/short/tank_event_in_random_battles_historical;Ground RB;Ground RB;same;;;;;;;;;;;;;;;;;;;
missions/air_event_historical_short;Air RB;Air RB;same;;;;;;;;;;;;;;;;;;;
missions/short/air_realistic;Air RB;Air RB;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_historical_short;Naval RB;Naval RB;same;;;;;;;;;;;;;;;;;;;
missions/short/ship_event_in_random_battles_realistic;Naval RB;Naval RB;same;;;;;;;;;;;;;;;;;;;
missions/mixed_event_historical;Mixed Realistic Battles;Mixed Realistic Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_simulator;Ground Simulator Battles;Ground Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_simulator_short;Ground SB;Ground SB;same;;;;;;;;;;;;;;;;;;;
missions/tank_event_in_random_battles_simulator;Ground Simulator Battles;Ground Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/short/tank_random_battles_simulation;Ground SB;Ground SB;same;;;;;;;;;;;;;;;;;;;
missions/short/tank_random_battles_simulation_1;Ground SB;Ground SB;same;;;;;;;;;;;;;;;;;;;
missions/air_event_simulator;Air Simulator Battles;Air Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/air_event_simulator_short;Air SB;Air SB;same;;;;;;;;;;;;;;;;;;;
missions/air_simulation_timeDelay_battles;Air Simulator Battles;Air Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/air_simulation_timeDelay_battles_short;Air SB;Air SB;same;;;;;;;;;;;;;;;;;;;
missions/short/air_simulation_timeDelay_battles;Air SB;Air SB;same;;;;;;;;;;;;;;;;;;;
missions/mixed_event_simulator;Mixed Simulator Battles;Mixed Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_arcade;Naval Arcade Battles;Naval Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_arcade/desc;Naval Arcade Battles is a battle mode for naval vessels and aircraft only. Two extra aircraft slots are included in addition to your current naval vessel setup – you can also use aircraft of your choice. This mode uses a special kind of Spawn Points that are earned by successfully performing specific actions in combat. You can use these points to respawn an aircraft. The number of points you have at the start of a battle is below what is required to pilot an aircraft. There are markers over both allied and enemy units. The manoeuvrability characteristics of the vehicles are improved over those in Realistic Battles. Parties can have vehicles from any nation. The maximum number of in-combat respawns is as follows: 3 for naval vessels and 2 for aircraft.;Naval Arcade Battles is a battle mode for naval vessels and aircraft only. Two extra aircraft slots are included in addition to your current naval vessel setup – you can also use aircraft of your choice. This mode uses a special kind of Spawn Points that are earned by successfully performing specific actions in combat. You can use these points to respawn an aircraft. The number of points you have at the start of a battle is below what is required to pilot an aircraft. There are markers over both allied and enemy units. The manoeuvrability characteristics of the vehicles are improved over those in Realistic Battles. Parties can have vehicles from any nation. The maximum number of in-combat respawns is as follows: 3 for naval vessels and 2 for aircraft.;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_historical;Naval Realistic Battles;Naval Realistic Battles;same;;;;;;;;;;;;;;;;;;;
